numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	avgDistanceNeighbouringPointsEuc	minDistanceNeighbouringPointsEuc	maxDistanceNeighbouringPointsEuc	indexDistanceNeighbouringPointsEuc	avgDistanceNeighbouringPointsCos	minDistanceNeighbouringPointsCos	maxDistanceNeighbouringPointsCos	indexDistanceNeighbouringPointsCos	avgDistanceAnyPointsEuc	maxDistanceAnyPointsEuc	avgDistanceAnyPointsCos	maxDistanceAnyPointsCos	clarkEvansNearestNeighbour	avgDistanceNearestNeighbour	cumulativeFrequencyDistribution	avgDistanceCentroidEuc	minDistanceCentroidEuc	maxDistanceCentroidEuc	indexDistanceCentroidEuc	avgDistanceCentroidCos	minDistanceCentroidCos	maxDistanceCentroidCos	indexDistanceCentroidCos	standardDistance	relativeDistance	determinantDistanceMatrix	moransI	gearysC	getissG	score
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																																																							class
754.0	616.0	134.0	0.5272727272727272	0.11515151515151516	1.0	3.6545454545454548	8.0	0.25	0.125	27.0	16.75	86.0	0.3939393939393939	9.386567164179104	78.71733208955226	6.441007462686567	8.709389552238807	8.0	8.841846274778883	30.92910447761194	56.50427847426154	1.3265306122448979	0.6417910447761194	7.4292684599996965	422.36763831052946	94.86473880597013	0.44029850746268656	2.5052184341859443	0.5277777777777778	5.75	0.19402985074626866	7.0	2.0	14.0	0.0	0.0	12.0	8.0	0.0	0.0	0.0	2.0	34.0	1.0	4.0	0.0	0.0	0.0	11.0	9.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	9.0	6.0	5.0	0.0	1.0	0.0	0.0	3.0	8.0	1.0	1.0	3.0	0.1145317790877575	6.0	0.18770416849145544	1.1242580852687158	1.0108558123426332	1.2565853161069676	0.80444662163837	0.6351108061138507	0.5109147366734424	0.7895033283278234	0.647134367065387	1.2692344575329901	1.3939143761905584	0.8113991482936287	0.9714986440753567	5.832950092592419	1.1023239539179084	0.5714285714285714	0.8329806798245274	0.7771263313420271	0.9001302363462608	0.8633487688364724	0.4481712079382607	0.3652110120372105	0.5521431823837832	0.6614425817239556	0.8339574235245356	0.9264852905171493	27.991453797518624	0.03486765931206655	0.8196951100784065	0.39965999423236714	2.0
905.0	739.0	168.0	0.5026737967914439	0.12834224598930483	2.0	3.8502673796791442	7.0	0.0	0.2857142857142857	21.0	24.0	104.0	0.45989304812834225	13.647619047619049	67.15714285714289	9.854523809523812	8.022495238095239	11.0	10.914260884657427	38.285714285714285	57.270407300962354	1.1639344262295082	0.6190476190476191	8.023774198028779	382.0	94.05654761904763	0.4166666666666667	2.1602468994692865	0.5833333333333334	7.571428571428571	0.16071428571428573	6.0	0.0	11.0	0.0	0.0	18.0	15.0	1.0	0.0	0.0	2.0	38.0	3.0	1.0	0.0	0.0	0.0	11.0	11.0	11.0	1.0	0.0	0.0	0.0	8.0	0.0	13.0	6.0	2.0	1.0	2.0	3.0	0.0	0.0	6.0	1.0	0.0	2.0	2.0	0.1307576409396543	6.0	0.20043604452577	1.1369305038590858	1.0604025584905676	1.2337478161440747	0.8594970095304597	0.6479729833050639	0.5622267930266707	0.7610668369201368	0.7387351093918029	1.3062415212868432	1.4142135623730951	0.8595674416248905	1.0	6.37733672301243	1.127364510688021	0.5	0.8665749616405648	0.8126253070988038	0.9054024798000901	0.8975293587424553	0.5021260314314266	0.40997256742508803	0.5700469745576778	0.7191908486896226	0.8672493940163805	0.9578606347619745	-48.86115907344256	0.09918222005235049	0.7744997537447408	0.49865454339750614	2.0
652.0	544.0	119.0	0.47794117647058826	0.13970588235294118	4.0	3.9191176470588234	6.0	0.0	0.0	20.0	19.833333333333332	84.0	0.40441176470588236	11.29467787114846	66.55794817927172	8.902983193277311	8.73359467787115	9.0	9.2995712137729	35.79971988795518	67.93600164272321	2.193548387096774	0.7058823529411765	7.700267375036975	381.3491427655824	115.20000000000005	0.5126050420168067	2.2000763928677074	0.5833333333333334	5.833333333333333	0.16806722689075632	4.0	0.0	19.0	0.0	0.0	13.0	7.0	1.0	0.0	0.0	0.0	38.0	2.0	8.0	0.0	0.0	2.0	2.0	2.0	6.0	1.0	0.0	1.0	0.0	4.0	0.0	4.0	9.0	1.0	2.0	2.0	2.0	0.0	0.0	0.0	10.0	1.0	10.0	2.0	0.32223246494722224	6.0	0.30675231230499794	1.1246966356983996	0.9992912604251808	1.2906330334618865	0.7742644380833529	0.6377201219072341	0.4992915115810733	0.8328668135315156	0.5994854200805303	1.2623671096084537	1.3756835704491714	0.8036806704500712	0.9462526430018902	5.307176130669219	1.083322791268164	0.6666666666666666	0.8171052899127286	0.7680609067338513	0.897126244942466	0.8561346979466733	0.4253121647726706	0.35586895517582307	0.5428556371078743	0.6555498936545188	0.8183727097366615	0.9122157715820084	-18.166410476420598	0.029187435381511917	0.7616644715268481	0.36267870886500136	3.0
396.0	326.0	75.0	0.4523809523809524	0.07142857142857142	3.0	3.869047619047619	3.0	0.0	0.3333333333333333	46.0	25.0	46.0	0.5357142857142857	11.066666666666668	68.66000000000003	9.893333333333334	9.929300000000001	11.0	7.793537801064561	33.0	40.252161156835975	1.391304347826087	0.6133333333333333	5.3116224765445565	886.9659275283938	40.8606896551724	0.37333333333333335	1.8475208614068022	0.5833333333333334	4.25	0.21333333333333335	7.0	0.0	9.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	2.0	15.0	4.0	1.0	0.0	0.0	3.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	3.0	2.0	1.0	1.0	3.0	0.0	0.0	2.0	4.0	2.0	0.0	1.0	0.05384360634855294	5.4	0.043515306190498884	1.0123114661255106	1.0030080584516228	1.0216148737993984	0.9817868593880426	0.5124305289217634	0.5030125826594469	0.5218484751840801	0.9639054372670365	1.0689441010918237	1.18220937102445	0.5745568521041798	0.6988094984690125	3.4960071349780493	1.0092103302342146	0.6666666666666666	0.6169589769478516	0.547907659944841	0.6563033452852488	0.8348390479507676	0.21453065075891498	0.16180096903639452	0.24489222990640547	0.6607027470746323	0.6189005585736586	0.943009910005359	2.4227913962257355	-0.41056998177138826	0.9105699817713881	0.4476284236938114	1.0
685.0	559.0	128.0	0.5106382978723404	0.14184397163120568	3.0	3.900709219858156	8.0	0.0	0.0	22.0	16.0	72.0	0.5106382978723404	10.4625	69.6434375	7.520312499999999	6.8972875	7.0	10.411451182825502	31.625	43.29775386629951	1.1041666666666667	0.5625	6.363961030678928	743.9446366782007	50.986607142857146	0.359375	1.590990257669732	0.5	6.625	0.1796875	8.0	0.0	9.0	0.0	0.0	15.0	11.0	0.0	0.0	0.0	0.0	29.0	1.0	1.0	0.0	1.0	0.0	9.0	9.0	7.0	0.0	0.0	2.0	0.0	5.0	0.0	4.0	10.0	1.0	1.0	0.0	7.0	0.0	0.0	0.0	4.0	0.0	2.0	1.0	0.11518095459486274	6.0	0.3329665376077302	1.1536433647566324	1.1168935393763093	1.1858539697535122	0.9418474515951262	0.6658565781870596	0.6237255891502698	0.7031248187900818	0.8870766220762337	1.2784108832702807	1.374457844195443	0.8216395571147267	0.9445671827351921	5.569723411287055	1.1369150305072477	0.6666666666666666	0.8269068865601242	0.7835799447345503	0.8621661756414635	0.9088502505350039	0.4384838657072612	0.37552743683474876	0.4906915227188774	0.7653024750743301	0.8274657883737182	0.959752089274521	-20.328567410338575	-0.0163873749047982	0.8491327588479632	0.4178963037504606	3.0
817.0	668.0	151.0	0.4759036144578313	0.12650602409638553	4.0	3.9216867469879517	6.0	0.0	0.3333333333333333	11.0	25.166666666666668	95.0	0.46987951807228917	12.98057395143488	59.71334988962475	11.182615894039738	6.871587858719646	11.0	12.161744961471694	39.07395143487859	56.79397208016969	1.5714285714285714	0.6291390728476821	7.7309903583260144	458.8817775630962	88.58502838221382	0.4370860927152318	1.302061534033855	0.5833333333333334	6.666666666666667	0.1456953642384106	10.0	0.0	20.0	0.0	0.0	17.0	17.0	0.0	1.0	0.0	2.0	41.0	1.0	3.0	0.0	0.0	0.0	5.0	7.0	7.0	1.0	0.0	1.0	0.0	2.0	0.0	7.0	4.0	2.0	0.0	5.0	4.0	0.0	0.0	1.0	1.0	0.0	6.0	1.0	0.0866636792635777	6.0	0.1368943007018542	1.1454407184910018	1.0835382470361083	1.2253968567291753	0.8842345572260439	0.6571269884192196	0.587027566395041	0.750798728240871	0.781870752192738	1.2791815578788988	1.3967339766177367	0.8225681646110375	0.9754329007191979	5.95692637599874	1.1257532692295646	0.5714285714285714	0.8392081695585818	0.7997313051770734	0.8761678438374455	0.9127603926599327	0.4569147643412323	0.39662195758706087	0.5145591815102504	0.7707994956439426	0.8396775731252211	0.9583524196090055	30.335586710835155	0.03696817075726591	0.8124950330831907	0.4477583886610535	3.0
1005.0	836.0	181.0	0.5165876777251185	0.15639810426540285	3.0	3.881516587677725	8.0	0.0	0.0	19.0	22.625	103.0	0.43601895734597157	13.027900552486187	65.61758632596687	9.727672651933705	9.120578453038673	11.0	11.45678717892309	40.857044198895025	50.48991931303528	1.8666666666666667	0.569060773480663	7.655929706345813	615.234375	79.27819096189262	0.3259668508287293	2.3042118533662155	0.6666666666666666	4.277777777777778	0.10497237569060773	10.0	3.0	23.0	0.0	0.0	25.0	16.0	0.0	1.0	0.0	4.0	54.0	0.0	2.0	0.0	0.0	6.0	7.0	7.0	9.0	1.0	2.0	0.0	0.0	1.0	0.0	6.0	6.0	1.0	1.0	2.0	3.0	1.0	0.0	4.0	6.0	0.0	9.0	3.0	0.1444066310417362	6.0	0.2989502397113575	1.1209298811383297	0.8242620307895273	1.2863217362520454	0.6407899420180669	0.6371088551894317	0.33970394770063783	0.8273118045772383	0.41061174979151754	1.2575464694886997	1.4142135623730951	0.8037505420588733	1.0	6.022436488668098	1.0037394147780163	0.3333333333333333	0.8424071283542839	0.7352125367856739	0.916050911029967	0.8025891660967113	0.46562646610685693	0.3029055967172962	0.5823092146102803	0.5201799819019189	0.8452484405632192	0.9227090223761247	40.32995204124549	0.1281391151618057	0.8088868152547444	0.5684032050488639	3.0
1236.0	1025.0	217.0	0.42386831275720166	0.11934156378600823	4.0	4.156378600823046	10.0	0.0	0.2	11.0	21.7	120.0	0.43209876543209874	12.182304147465437	60.05373963133643	10.273921658986179	7.914478986175116	11.0	10.793553405168563	35.06405529953917	51.500350925795445	1.4647887323943662	0.5529953917050692	8.146130799625569	522.4435196195006	83.12033825834958	0.33640552995391704	2.3759548165574573	0.6944444444444444	4.5	0.16129032258064516	13.0	0.0	27.0	0.0	0.0	29.0	11.0	1.0	0.0	0.0	2.0	59.0	4.0	2.0	0.0	1.0	1.0	7.0	11.0	16.0	1.0	0.0	0.0	0.0	2.0	0.0	7.0	12.0	3.0	5.0	4.0	4.0	1.0	0.0	1.0	6.0	0.0	10.0	3.0	0.0	6.0	0.3055376580698976	1.1234704182613566	0.9749893965409605	1.253290190310596	0.7779438505772828	0.6360564391892468	0.47530216168365325	0.785368150564385	0.6051966346510096	1.3026554860765636	1.4142135623730951	0.8562584259701209	1.0	6.916285957513884	1.0426693392671582	0.45454545454545453	0.8811350197132941	0.7930836180389648	0.9494734236049579	0.8352878535849768	0.5292737004180966	0.3705454481270296	0.6600110645291666	0.5614230852195885	0.8822792930143651	0.9292301091109321	118.74697299872918	0.1590083688144362	0.7837746778983703	0.5508333027225397	4.0
