numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	score
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																										class
754	616	134	0.527272727	0.115151515	1	3.654545455	8	0.25	0.125	27	16.75	86	0.393939394	9.386567164	78.71733209	6.441007463	8.709389552	8	8.841846275	30.92910448	56.50427847	1.326530612	0.641791045	7.42926846	422.3676383	94.86473881	0.440298507	2.505218434	0.527777778	5.75	0.194029851	7	2	14	0	0	12	8	0	0	0	2	34	1	4	0	0	0	11	9	3	0	0	0	0	3	0	5	9	6	5	0	1	0	0	3	8	1	1	2	0.977390647	6	1.032502004	2
905	739	168	0.502673797	0.128342246	2	3.85026738	7	0	0.285714286	21	24	104	0.459893048	13.64761905	67.15714286	9.85452381	8.022495238	11	10.91426088	38.28571429	57.2704073	1.163934426	0.619047619	8.023774198	382	94.05654762	0.416666667	2.160246899	0.583333333	7.571428571	0.160714286	6	0	11	0	0	18	15	1	0	0	2	38	3	1	0	0	0	11	11	11	1	0	0	0	8	0	13	6	2	1	2	3	0	0	6	1	0	2	4	0.985720456	6	1.041326012	2
652	544	119	0.477941176	0.139705882	4	3.919117647	6	0	0	20	19.83333333	84	0.404411765	11.29467787	66.55794818	8.902983193	8.733594678	9	9.299571214	35.79971989	67.93600164	2.193548387	0.705882353	7.700267375	381.3491428	115.2	0.512605042	2.200076393	0.583333333	5.833333333	0.168067227	4	0	19	0	0	13	7	1	0	0	0	38	2	8	0	0	2	2	2	6	1	0	1	0	4	0	4	9	1	2	2	2	0	0	0	10	1	10	3	0.980901062	6	1.02858684	3
396	326	75	0.452380952	0.071428571	3	3.869047619	3	0	0.333333333	46	25	46	0.535714286	11.06666667	68.66	9.893333333	9.9293	11	7.793537801	33	40.25216116	1.391304348	0.613333333	5.311622477	886.9659275	40.86068966	0.373333333	1.847520861	0.583333333	4.25	0.213333333	7	0	9	0	0	7	5	0	0	0	2	15	4	1	0	0	3	1	4	1	0	0	0	0	2	0	6	3	2	1	1	3	0	0	2	4	2	0	2	0.970312715	6	1.008498857	1
685	559	128	0.510638298	0.141843972	3	3.90070922	8	0	0	22	16	72	0.510638298	10.4625	69.6434375	7.5203125	6.8972875	7	10.41145118	31.625	43.29775387	1.104166667	0.5625	6.363961031	743.9446367	50.98660714	0.359375	1.590990258	0.5	6.625	0.1796875	8	0	9	0	0	15	11	0	0	0	0	29	1	1	0	1	0	9	9	7	0	0	2	0	5	0	4	10	1	1	0	7	0	0	0	4	0	2	2	0.985186934	6	1.046648274	3
817	668	151	0.475903614	0.126506024	4	3.921686747	6	0	0.333333333	11	25.16666667	95	0.469879518	12.98057395	59.71334989	11.18261589	6.871587859	11	12.16174496	39.07395143	56.79397208	1.571428571	0.629139073	7.730990358	458.8817776	88.58502838	0.437086093	1.302061534	0.583333333	6.666666667	0.145695364	10	0	20	0	0	17	17	0	1	0	2	41	1	3	0	0	0	5	7	7	1	0	1	0	2	0	7	4	2	0	5	4	0	0	1	1	0	6	4	0.987551987	6	1.034641271	3
1005	836	181	0.516587678	0.156398104	3	3.881516588	8	0	0	19	22.625	103	0.436018957	13.02790055	65.61758633	9.727672652	9.120578453	11	11.45678718	40.8570442	50.48991931	1.866666667	0.569060773	7.655929706	615.234375	79.27819096	0.325966851	2.304211853	0.666666667	4.277777778	0.104972376	10	3	23	0	0	25	16	0	1	0	4	54	0	2	0	0	6	7	7	9	1	2	0	0	1	0	6	6	1	1	2	3	1	0	4	6	0	9	3	0.984044015	6	1.0365579	3
1236	1025	217	0.423868313	0.119341564	4	4.156378601	10	0	0.2	11	21.7	120	0.432098765	12.18230415	60.05373963	10.27392166	7.914478986	11	10.79355341	35.0640553	51.50035093	1.464788732	0.552995392	8.1461308	522.4435196	83.12033826	0.33640553	2.375954817	0.694444444	4.5	0.161290323	13	0	27	0	0	29	11	1	0	0	2	59	4	2	0	1	1	7	11	16	1	0	0	0	2	0	7	12	3	5	4	4	1	0	1	6	0	10	4	0	6	1.044419486	4
