numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	score
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																										class
694	573	123	0.466666667	0.17037037	3	4.155555556	6	0	0	19	20.5	91	0.437037037	13.07804878	56.03237805	10.53670732	8.504519512	10	12.4579756	39.19918699	79.23274576	2.111111111	0.739837398	8.205193675	377.8570485	142.0141006	0.577235772	2.164007123	0.527777778	5.75	0.130081301	3	0	17	1	0	18	16	0	1	0	3	31	3	0	0	0	1	4	0	7	0	0	2	0	2	0	5	7	2	1	0	1	0	0	0	3	0	0	3	0.306686898	6	0.253893194	2
1052	873	180	0.432835821	0.184079602	3	4.243781095	9	0	0	21	20	110	0.44278607	13.55555556	59.165	9.975555556	8.576	11	11.4295279	40.55555556	57.31481524	2.157894737	0.611111111	8.198915917	715.3463185	96.51190476	0.45	2.683281573	0.555555556	6.666666667	0.138888889	5	0	31	1	0	22	22	0	0	0	6	45	2	2	0	0	0	5	0	8	0	0	3	0	3	0	8	7	4	4	2	0	1	0	1	3	0	0	4	0.236715434	6	0.301438412	3
938	773	169	0.459016393	0.169398907	2	4.120218579	8	0	0.125	15	21.125	100	0.393442623	13.89378698	59.24401257	10.24401627	9.355897633	10	12.16174496	39.46819527	52.67470513	2.4	0.591715976	7.692307692	603.6773302	78.46668382	0.408284024	2.307692308	0.527777778	6.222222222	0.142011834	2	3	24	1	0	18	14	0	0	0	5	51	0	0	0	0	1	1	0	10	0	0	3	0	10	0	13	4	3	2	0	2	3	0	0	1	1	0	4	0	6	0.526457999	4
1098	906	200	0.495535714	0.142857143	3	3.973214286	6	0	0.5	10	33.33333333	119	0.352678571	17.93333333	52.86966667	14.166	10.26368333	16	13.0238668	49.33333333	56.67664547	2.585365854	0.595	8.414570696	609.5284474	97.90320988	0.405	3.252691193	0.722222222	6	0.15	4	7	24	1	0	28	15	1	0	0	5	62	2	2	0	1	1	4	1	4	0	0	1	0	5	0	8	12	3	4	0	3	2	0	2	10	0	5	2	0.168812781	6	0.26190931	1
929	768	163	0.434285714	0.205714286	2	4.302857143	10	0	0	18	16.3	90	0.365714286	12.9003681	57.42178834	9.299515337	9.191667117	9	12.5161	38.38588957	46.18506716	1.833333333	0.552147239	7.04934405	766.2835249	59.56382889	0.386503067	2.19312926	0.555555556	5.727272727	0.18404908	0	0	23	1	0	20	25	0	0	0	4	37	1	1	0	0	0	4	0	7	0	1	1	0	8	0	11	6	5	5	1	2	1	0	0	2	0	2	3	0.48229224	6	0.566996943	3
1038	871	173	0.476923077	0.225641026	2	4.394871795	10	0	0	14	17.3	105	0.358974359	13.62520231	52.83966185	10.1870578	10.88359734	10	12.6883529	42.73352601	55.72089771	2.9375	0.606936416	7.983002173	701.8919714	91.37517001	0.439306358	4.029515383	0.527777778	7	0.115606936	4	1	28	0	0	22	18	2	1	0	2	58	0	1	0	0	0	3	0	8	1	0	0	0	5	0	4	6	4	4	0	2	0	0	0	1	2	0	4	0.136541906	6	0.183945092	4
865	718	150	0.446540881	0.20754717	3	4.459119497	6	0	0.166666667	19	25	92	0.459119497	16.66666667	64.148	10.52266667	8.560833333	14	11.20814326	47	53.82501808	2.138888889	0.613333333	7.511768545	875.5165289	77.34344828	0.42	2.367840085	0.583333333	7.833333333	0.166666667	5	0	27	0	0	18	9	0	0	0	3	42	2	1	0	0	1	5	1	5	0	0	1	0	5	0	7	5	5	4	2	2	2	0	0	4	0	1	2	0.231142316	6	0.29660011	3
806	679	130	0.463576159	0.225165563	3	4.40397351	5	0	0.2	23	26	96	0.357615894	18.4	43.13269231	13.70230769	10.39186923	15	14.83674596	52.15384615	80.55558283	2.151515152	0.738461538	8.419756985	402.1253472	157.4226244	0.584615385	3.508232077	0.5	7.6	0.176923077	4	2	18	0	0	16	14	0	0	0	3	39	1	4	0	0	0	1	1	8	0	0	0	0	4	0	5	10	4	3	0	1	0	0	0	6	0	8	4	0.128269293	6	0.216147005	3
