numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	lexicalDiversity	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	avgDistanceNeighbouringPointsEuc	minDistanceNeighbouringPointsEuc	maxDistanceNeighbouringPointsEuc	indexDistanceNeighbouringPointsEuc	avgDistanceNeighbouringPointsCos	minDistanceNeighbouringPointsCos	maxDistanceNeighbouringPointsCos	indexDistanceNeighbouringPointsCos	avgDistanceAnyPointsEuc	maxDistanceAnyPointsEuc	avgDistanceAnyPointsCos	maxDistanceAnyPointsCos	clarkEvansNearestNeighbour	avgDistanceNearestNeighbour	cumulativeFrequencyDistribution	avgDistanceCentroidEuc	minDistanceCentroidEuc	maxDistanceCentroidEuc	indexDistanceCentroidEuc	avgDistanceCentroidCos	minDistanceCentroidCos	maxDistanceCentroidCos	indexDistanceCentroidCos	standardDistance	relativeDistance	determinantDistanceMatrix	moransI	gearysC	getissG	score
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																																																								class
2630.0	2143.0	244.0	0.2786885245901639	0.17049180327868851	4.0	4.439344262295082	20.0	0.0	0.15	22.0	12.2	129.0	0.0	8.978360655737706	58.883967213114744	8.077016393442623	8.059693770491803	10.0	9.766711354998122	33.511475409836066	50.111195203368275	2.2238805970149254	1.8914728682170543	0.5286885245901639	8.25837875567179	478.08000000000004	90.44021739130433	0.29918032786885246	2.3046638387921274	0.4722222222222222	7.130434782608695	0.19262295081967212	0.0	1.0	2.0	0.0	0.0	5.0	42.0	1.0	2.0	0.0	5.0	108.0	17.0	8.0	0.0	0.0	3.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	7.0	6.0	5.0	16.0	0.0	0.0	0.0	0.0	9.0	0.0	3.0	4.0	0.10280531258342014	4.142857142857142	0.07243099694950755	0.5051692906938989	0.34877057110973814	0.7033011784792267	0.4959050002786818	0.130998203077629	0.060820455636106385	0.24731627382513444	0.2459217693013992	1.157096468285432	1.3874075496593619	0.7036539622148211	0.9624498544258977	4.665293389405161	0.4574696544079296	0.4230769230769231	0.8220090191341873	0.7799779816077635	0.9095765948590656	0.8575176472396119	0.4313088257089634	0.37132486642243634	0.5638405410286631	0.6585636175522183	0.8225511219878566	0.9043230956435361	-0.019459377742836386	0.7575903310911546	0.21678115746178842	0.8390954110325858	4.0
852.0	666.0	76.0	0.19540229885057472	0.21839080459770116	4.0	4.827586206896552	3.0	0.0	0.6666666666666666	14.0	25.333333333333332	56.0	0.0	15.396491228070175	51.995350877192976	12.300526315789476	9.463822807017543	17.0	13.023866798666859	50.33333333333333	63.556554204911784	1.52	1.3571428571428572	0.7368421052631579	6.423640548375729	562.1301775147929	89.74736842105261	0.5526315789473685	2.408865205640898	0.2777777777777778	4.470588235294118	0.25	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	1.0	0.0	0.0	34.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	1.0	7.0	0.0	1.0	0.0	11.0	0.0	0.0	0.0	0.0	11.0	0.0	8.0	2.0	0.03584118191595613	3.7142857142857144	0.009028268021872232	0.5163473047428566	0.38606661845831713	0.601483967086041	0.6418568733072998	0.13707413905435753	0.0745237169439198	0.18089148133078048	0.41198024581182335	0.7414111880527773	1.0973313455092921	0.298454534095744	0.6020680409186167	2.192648758532632	0.4902911674859487	0.6	0.476667770092539	0.34012344495415436	0.6377932372489051	0.5332816735738103	0.1275113910638118	0.05697770832657645	0.2237972247600839	0.2545952407929006	0.48863445158584085	0.7661330083924147	0.5176739278300563	0.18177434748035787	0.516656424785714	0.8223785473335049	1.0
1158.0	930.0	108.0	0.35664335664335667	0.13286713286713286	1.0	3.972027972027972	15.0	0.0	0.06666666666666667	12.0	7.2	72.0	0.0	7.694814814814816	76.5436666666667	4.371703703703705	8.233527407407408	6.0	8.238735603445708	24.79259259259259	56.37583895625172	2.3448275862068964	1.5	0.6666666666666666	6.928203230275509	550.9641873278237	95.33333333333331	0.3888888888888889	1.9245008972987525	0.3333333333333333	4.318181818181818	0.21296296296296297	1.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	49.0	6.0	8.0	0.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.0	1.0	4.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	3.0	0.16378645144203133	4.142857142857142	0.052477795248432046	0.5085733045694258	0.38804178183831184	0.6095630894432582	0.6365900241642388	0.13207497369331397	0.07528821222612625	0.18578358000580442	0.4052468588654284	0.8826871555160672	1.2403474845921272	0.4205325145731741	0.7692309412670087	3.0557089484454716	0.48315000718228623	0.6	0.6080476098671765	0.48874869781033686	0.7814416199063046	0.6254449281431135	0.21163413513512436	0.12309404244067168	0.3588828635194553	0.3429922544462719	0.6152066832503177	0.7872714577502046	-0.2828008641228906	0.5545841288553945	0.3510472000310623	0.8106786738092917	2.0
2685.0	2179.0	229.0	0.2578397212543554	0.3240418118466899	1.0	5.003484320557491	31.0	0.0	0.0	15.0	7.387096774193548	119.0	0.0	12.2124806310748	32.35369066065644	10.58179743625863	8.967441484716158	11.0	11.46468446583662	47.99845048598394	47.769860237003	1.704225352112676	1.9243697478991597	0.519650655021834	7.863741345415568	606.4272211720228	80.67104009527591	0.2925764192139738	2.57719254177485	0.3888888888888889	5.483870967741935	0.22707423580786026	0.0	4.0	0.0	0.0	0.0	1.0	43.0	0.0	0.0	0.0	11.0	92.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	7.0	14.0	7.0	6.0	0.0	1.0	0.0	0.0	2.0	0.0	4.0	4.0	0.1447845199265269	4.714285714285714	0.13730075485088267	0.4787189174908381	0.22994205254733913	0.6728612970723126	0.3417376709699907	0.11893604798662223	0.02643667376484138	0.22637116254891732	0.11678463575999257	1.1344060325739918	1.3572475211439954	0.6782880032244467	0.9210604168257598	4.346012318965337	0.4346012318965337	0.48	0.8062706229431559	0.7511462434855143	0.8911245202791392	0.842919509442095	0.4093702370312421	0.3357743827044194	0.5303821098741777	0.6330801443964146	0.8069426764618842	0.9055330182241136	0.006695685491823751	0.7569218115821376	0.2111678406615062	0.8414931156870171	4.0
2375.0	1904.0	224.0	0.3310810810810811	0.17229729729729729	4.0	4.16554054054054	35.0	0.0	0.0	10.0	6.4	141.0	0.0	8.452857142857145	63.241678571428594	6.028321428571427	7.5489846428571425	7.0	8.505502328695277	29.167857142857144	65.93688229739693	2.462962962962963	1.5886524822695036	0.6294642857142857	9.42095877741296	334.15014479839607	158.26097246127367	0.4107142857142857	2.271720556255607	0.5555555555555556	4.805555555555555	0.18303571428571427	2.0	1.0	3.0	0.0	1.0	1.0	32.0	2.0	0.0	0.0	8.0	105.0	15.0	0.0	0.0	0.0	6.0	1.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	1.0	16.0	6.0	4.0	8.0	6.0	1.0	0.0	0.0	0.0	9.0	0.0	15.0	3.0	0.11979458017268896	4.142857142857142	0.06343202094495964	0.5145684920181197	0.3619391489566354	0.6968866814528827	0.5193658575911622	0.13603956626901884	0.06549997377372674	0.2428255233932054	0.2697408940314036	1.1536940909365023	1.3816247167208104	0.6975451697813232	0.9544434289269305	4.7478234147919185	0.4655623892137832	0.5	0.8182174988404066	0.7691925240356101	0.9234449116331267	0.8329598380430525	0.4261677156216449	0.3572805402873981	0.5847802583205938	0.610965461305854	0.8189728380142521	0.886867021191211	-0.028256587204661787	0.7497345640997918	0.21962188321265685	0.8391530803020926	4.0
1761.0	1420.0	171.0	0.3333333333333333	0.1774891774891775	1.0	4.181818181818182	25.0	0.04	0.0	7.0	6.84	104.0	0.0	7.180444444444444	62.35555789473685	6.2612257309941555	9.331436514619883	7.0	9.174902378510234	30.816608187134502	55.69467925701233	2.864864864864865	1.6442307692307692	0.6081871345029239	7.953078774179474	338.7409448015508	109.0379680544645	0.34502923976608185	2.9824045403173027	0.4444444444444444	5.230769230769231	0.1695906432748538	1.0	1.0	0.0	0.0	0.0	6.0	35.0	0.0	0.0	0.0	8.0	78.0	9.0	8.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	3.0	2.0	8.0	1.0	0.0	0.0	0.0	5.0	0.0	4.0	2.0	0.0806640002272341	4.714285714285714	0.0688529118914395	0.5219315224474294	0.34784218546892653	0.6562889049228839	0.5300138138245672	0.13900742075838673	0.060497092995899227	0.21535756336243894	0.2809146428448618	1.098698059193054	1.3615813716078788	0.6409356258425538	0.9269519157547966	4.225882375681506	0.48474195323382285	0.42105263157894735	0.7780008530582018	0.7176622727591502	0.8833584556465975	0.8124247503057389	0.3732641480263319	0.2997379297489039	0.511376551175382	0.5861393704110331	0.7792317831369819	0.8821241005347062	0.12091616548939464	0.6830658959119659	0.2645920091423991	0.8419919923260342	4.0
3057.0	2515.0	264.0	0.3022598870056497	0.2966101694915254	1.0	4.9491525423728815	25.0	0.04	0.08	27.0	10.56	174.0	0.0	14.375515151515152	27.87796363636366	11.994309090909091	12.174897212121213	14.0	12.12554182996811	50.332727272727276	77.33271909606599	3.1166666666666667	1.5172413793103448	0.6590909090909091	10.708959715201948	242.03090824339347	225.54090909090905	0.4621212121212121	5.41602560309064	0.5	6.333333333333333	0.1856060606060606	0.0	2.0	1.0	0.0	0.0	8.0	56.0	0.0	0.0	0.0	4.0	137.0	5.0	16.0	0.0	0.0	3.0	1.0	0.0	9.0	1.0	0.0	1.0	0.0	0.0	0.0	9.0	6.0	7.0	14.0	13.0	0.0	0.0	0.0	0.0	12.0	0.0	9.0	4.0	0.09601927189640524	5.857142857142857	0.15936440217194284	0.5487628391131741	0.35692374628534174	0.6976628911754928	0.5115991559819967	0.1525030996398719	0.0636972803311815	0.2433667548616737	0.26173369640149147	1.2063484126037045	1.4005270746443326	0.7553895933280493	0.9807380434059066	5.770354004300851	0.5181930868719322	0.45161290322580644	0.8547203110195967	0.8135270271852456	0.9102944991978201	0.8936965211831457	0.48136929043071564	0.4146590456900371	0.5754766064622097	0.7205489172517161	0.8549983550227807	0.9392546651399432	0.06711789610410333	0.7734910589689281	0.2124765592428357	0.8668092311380331	5.0
4030.0	3211.0	328.0	0.3233082706766917	0.17543859649122806	4.0	4.30827067669173	36.0	0.0	0.16666666666666666	22.0	9.11111111111111	159.0	0.0	7.059078590785908	68.10795392953932	6.023089430894313	8.324752574525746	7.0	9.2995712137729	30.452574525745256	49.18487709893406	1.5304347826086957	2.0628930817610063	0.4847560975609756	8.7793063229503	719.6670135275754	90.9864248087747	0.29878048780487804	2.926435440983433	0.5277777777777778	6.866666666666666	0.25609756097560976	0.0	6.0	2.0	0.0	0.0	8.0	52.0	0.0	0.0	0.0	4.0	137.0	3.0	0.0	0.0	0.0	4.0	5.0	0.0	24.0	1.0	0.0	0.0	0.0	0.0	1.0	23.0	13.0	12.0	16.0	18.0	2.0	0.0	0.0	0.0	12.0	0.0	9.0	3.0	0.131280196458913	3.7142857142857144	0.03264667690306544	0.4867539916334873	0.21866626356769567	0.6335942453258468	0.3451203434703535	0.12232201605316403	0.0239074674113281	0.20072083385501482	0.1191080514770928	1.165241831443282	1.4032694842623774	0.7079393402103185	0.9845826227309997	5.443868170534894	0.4536556808779078	0.4166666666666667	0.8277781359872052	0.7292094636868519	0.9546772416889531	0.7638282676528266	0.44167604255039317	0.3014994349386094	0.6415011389695785	0.4699904904656876	0.8296230219429844	0.8690089023964469	-0.0005449333614014841	0.7610146831336316	0.20479903180902365	0.8468817557057273	2.0
