numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	lexicalDiversity	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	avgDistanceNeighbouringPointsEuc	minDistanceNeighbouringPointsEuc	maxDistanceNeighbouringPointsEuc	indexDistanceNeighbouringPointsEuc	avgDistanceNeighbouringPointsCos	minDistanceNeighbouringPointsCos	maxDistanceNeighbouringPointsCos	indexDistanceNeighbouringPointsCos	avgDistanceAnyPointsEuc	maxDistanceAnyPointsEuc	avgDistanceAnyPointsCos	maxDistanceAnyPointsCos	clarkEvansNearestNeighbour	avgDistanceNearestNeighbour	cumulativeFrequencyDistribution	avgDistanceCentroidEuc	minDistanceCentroidEuc	maxDistanceCentroidEuc	indexDistanceCentroidEuc	avgDistanceCentroidCos	minDistanceCentroidCos	maxDistanceCentroidCos	indexDistanceCentroidCos	standardDistance	relativeDistance	determinantDistanceMatrix	moransI	gearysC	getissG	score
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																																																								class
262.0	212.0	22.0	0.28	0.36	7.0	5.0	3.0	0.0	0.0	11.0	7.333333333333333	17.0	0.0	6.56969696969697	45.57348484848487	8.724545454545456	12.612960606060607	9.0	7.793537801064561	48.24242424242425	38.58254676431957	3.2	1.2941176470588236	0.7727272727272727	3.624412178045377	703.125	32.840909090909086	0.45454545454545453	1.9188064472004938	0.1388888888888889	5.666666666666667	0.22727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.09325608373396274	3.9	0.03716929614105638	1.195590877257262	1.195590877257262	1.195590877257262	1.0	0.7147187728903945	0.7147187728903945	0.7147187728903945	1.0	1.195590877257262	1.195590877257262	0.7147187728903945	0.7147187728903945	3.381641667333533	1.195590877257262	1.0	0.597795438628631	0.597795438628631	0.597795438628631	1.0	0.19835131537886086	0.19835131537886075	0.19835131537886097	0.9999999999999989	0.5977954386286309	0.9999999999999998	-1.4294375457807895	-1.0	1.0	1.0	1.0
1016.0	839.0	113.0	0.4338235294117647	0.25	1.0	4.426470588235294	12.0	0.16666666666666666	0.0	12.0	9.416666666666666	85.0	0.0	11.554277286135694	60.270003687315636	7.1922345132743395	12.62737197640118	8.0	9.2995712137729	39.50516224188791	80.82792483293966	2.92	1.3294117647058823	0.7522123893805309	7.996127381260576	304.07626561472716	155.27812895069525	0.5398230088495575	3.38659512618095	0.4444444444444444	5.0	0.18584070796460178	2.0	4.0	2.0	0.0	1.0	5.0	20.0	0.0	0.0	0.0	2.0	42.0	1.0	16.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	7.0	2.0	2.0	0.0	0.0	0.0	0.0	16.0	1.0	10.0	3.0	0.21280998815526156	4.8	0.10968626554592595	1.0750047056469858	0.8058648505094905	1.2034242566326425	0.6696431836636054	0.5839953092051869	0.32470907864334153	0.724114970725914	0.448421993427129	1.3156623083563532	1.4142135623730956	0.8732289808999248	1.0	7.2285659247822345	1.0024217342259276	0.46153846153846156	0.8968899719387322	0.8387215445047865	0.9546347261993653	0.8785784986514606	0.5596109910893549	0.443118878958755	0.6791302541784073	0.6524799568748822	0.8978070621412485	0.9404718239358824	225.15157270237242	0.21895192816409195	0.6786732427761621	0.9771681353754065	2.0
512.0	417.0	51.0	0.4098360655737705	0.19672131147540983	1.0	4.360655737704918	8.0	0.375	0.0	5.0	6.375	46.0	0.0	9.608823529411765	59.364374999999995	6.56291666666667	8.906425490196078	6.0	9.516144504307135	29.90441176470588	151.77927165390577	1.3333333333333333	1.108695652173913	0.9019607843137255	6.441288386528845	164.39909297052154	253.09019607843143	0.6666666666666666	1.8203641092364127	0.3888888888888889	4.875	0.23529411764705882	0.0	0.0	0.0	0.0	0.0	1.0	10.0	1.0	0.0	0.0	1.0	16.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	2.0	2.0	1.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	2.0	0.020543775343291684	4.8	0.013621676077164538	1.0088206109656304	0.901236119909975	1.0754803921954492	0.8379847056720598	0.5108036582650402	0.4061132719151933	0.5783290369984389	0.7022183669402883	1.2298704877079214	1.4142135623730951	0.7715142475850882	1.0	4.854349108629348	0.9908898624563545	0.5	0.7969826093680862	0.7077050221045457	0.9397771753693742	0.7530561931623697	0.40244543316466935	0.2835591010806252	0.6034752746429004	0.4698769162471786	0.8018282482266638	0.8532110262323722	-14.06659952912239	0.10914226509269315	0.6930655840643659	0.9392726994367169	1.0
431.0	345.0	44.0	0.3191489361702128	0.19148936170212766	4.0	4.723404255319149	3.0	0.0	0.3333333333333333	62.0	14.666666666666666	45.0	0.0	11.32121212121212	68.8937878787879	7.293636363636363	11.90010303030303	10.0	10.504223727775692	35.121212121212125	-635.3232670630088	1.5714285714285714	0.9777777777777777	1.0227272727272727	6.784005252999681	16.224986479177936	-1081.534090909092	0.9545454545454546	3.015113445777636	0.3611111111111111	5.833333333333333	0.2727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	1.0	0.0	1.0	16.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	2.0	2.0	2.0	0.0	0.0	0.0	6.0	1.0	1.0	2.0	0.017994895903130338	4.8	0.014536047144522612	1.0455314039679142	0.8978427138638155	1.1569686600146714	0.7760302805889574	0.5513144997689952	0.4030607694191706	0.6692882401280722	0.6022229963909758	1.2623315025639086	1.4142135623730951	0.8143874595594681	1.0	4.543661803533833	1.0159936659470945	0.4	0.8043937738399624	0.7035856464939512	0.9034408272840309	0.778784426434552	0.40966955664439464	0.27713598374766013	0.5491637692585238	0.5046508878796697	0.8071616737974956	0.8934305927085734	10.548049098695653	0.049382820022012205	0.7175918537436531	0.9929782010371658	1.0
701.0	569.0	74.0	0.3375	0.2375	5.0	4.45	3.0	0.0	0.3333333333333333	18.0	24.666666666666668	52.0	0.0	13.109909909909911	53.75509009009011	11.889459459459463	11.474696396396396	14.0	8.841846274778883	50.34234234234234	54.62903195599289	3.0714285714285716	1.4230769230769231	0.7027027027027027	6.0448772146786025	462.3073719283632	66.43734643734645	0.47297297297297297	2.6736956911078433	0.3333333333333333	6.166666666666667	0.17567567567567569	0.0	1.0	0.0	0.0	0.0	0.0	17.0	0.0	1.0	0.0	3.0	34.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	11.0	0.0	2.0	1.0	0.10030162478347711	4.5	0.0557891967393945	1.0216095911889924	0.9037994120307713	1.1464317196449458	0.7883586929282463	0.524559212214383	0.408426688593584	0.6571528439040338	0.6215094287155332	1.251193537187738	1.414213562373095	0.7938594961000801	1.0	5.536354402968094	0.9786984353476846	0.25	0.8320934437284603	0.7536562552668072	0.9147854114412024	0.8238612529680118	0.4473944074546205	0.33281964591311075	0.5760623867661059	0.5777493090314243	0.8334428949169642	0.9110802211022507	-29.222497283275413	0.20092515686013382	0.6891511986859715	0.9525554820386078	2.0
383.0	312.0	38.0	0.3191489361702128	0.3191489361702128	4.0	4.595744680851064	3.0	0.0	0.3333333333333333	11.0	12.666666666666666	34.0	0.0	10.329824561403509	49.2678070175439	9.534210526315793	12.159766666666666	11.0	10.504223727775692	52.14035087719298	120.77534109435874	1.7692307692307692	1.1176470588235294	0.8947368421052632	5.515528318445926	195.3125	178.72368421052633	0.7105263157894737	2.271099895830676	0.25	4.833333333333333	0.21052631578947367	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	4.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	1.0	0.07342527065701229	4.8	0.041087005918478636	0.9785306679250185	0.8741281291524672	1.0666641927442115	0.8194970217417668	0.4818077657051628	0.3820499930877961	0.5688862500413303	0.6715753686436254	1.205046977005119	1.3924444996997958	0.744668722585169	0.9694508423721074	4.163972721714892	0.9310926062209312	0.4	0.7711951847987054	0.7258565587465079	0.8140851779866702	0.891622373646008	0.3641816124616521	0.3100252404987077	0.4168693769731905	0.7436987642262001	0.7718386995144356	0.948105579594613	7.920758937740191	0.1142335938416119	0.6985322904298913	0.9537964890788976	1.0
209.0	167.0	21.0	0.44	0.16	3.0	4.2	4.0	0.0	0.0	12.0	5.25	20.0	0.0	5.90952380952381	80.64910714285718	3.3146428571428572	7.65642380952381	4.0	7.168621630094336	24.297619047619047	191.4974382205276	2.1666666666666665	1.05	0.9523809523809523	4.364357804719848	166.2049861495845	238.09523809523782	0.8095238095238095	0.8728715609439696	0.2222222222222222	4.25	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.06700624063152588	4.8	0.08197945299176579	1.236691927787067	1.236691927787067	1.236691927787067	1.0	0.7647034621268457	0.7647034621268457	0.7647034621268457	1.0	1.236691927787067	1.236691927787067	0.7647034621268457	0.7647034621268457	3.497892993507597	1.236691927787067	1.0	0.6183459638935335	0.6183459638935335	0.6183459638935335	1.0	0.21409398212217706	0.214093982122177	0.21409398212217712	0.9999999999999994	0.6183459638935334	1.0	-1.529406924253692	-1.0	1.0	1.0	1.0
539.0	429.0	51.0	0.4444444444444444	0.1111111111111111	1.0	3.8412698412698414	8.0	0.0	0.0	11.0	6.375	37.0	0.0	3.3343137254901962	80.92908088235293	3.555073529411768	10.1448568627451	3.0	6.6274283507984215	20.100490196078432	50.113723312321	2.0	1.3783783783783783	0.7254901960784313	5.181036310903636	631.4878892733564	60.397058823529406	0.5098039215686274	1.2602520756252087	0.3055555555555556	4.7	0.27450980392156865	0.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	19.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	1.0	5.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0702937439530383	3.0	-0.0007980065481434373	1.0219669171881018	0.7991691403535229	1.232428125248219	0.6484509108330883	0.5341160045203566	0.31933565744669445	0.75943954195142	0.42048858376026166	1.203362310822626	1.3836760247628326	0.739596494535883	0.9572796707517377	4.529034506836209	0.9244852974338637	0.6666666666666666	0.7842742272307456	0.7249254329164015	0.8312467125891814	0.8720941953062185	0.3805893221078893	0.30728292615323194	0.44084069308125673	0.6970384789241606	0.785067138602321	0.9444454055727698	-11.289478572587084	0.05727081903249213	0.7618394786734893	0.9141479345668737	0.0
