numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	avgDistanceNeighbouringPointsEuc	minDistanceNeighbouringPointsEuc	maxDistanceNeighbouringPointsEuc	indexDistanceNeighbouringPointsEuc	avgDistanceNeighbouringPointsCos	minDistanceNeighbouringPointsCos	maxDistanceNeighbouringPointsCos	indexDistanceNeighbouringPointsCos	avgDistanceAnyPointsEuc	maxDistanceAnyPointsEuc	avgDistanceAnyPointsCos	maxDistanceAnyPointsCos	clarkEvansNearestNeighbour	avgDistanceNearestNeighbour	cumulativeFrequencyDistribution	avgDistanceCentroidEuc	minDistanceCentroidEuc	maxDistanceCentroidEuc	indexDistanceCentroidEuc	avgDistanceCentroidCos	minDistanceCentroidCos	maxDistanceCentroidCos	indexDistanceCentroidCos	standardDistance	relativeDistance	determinantDistanceMatrix	moransI	gearysC	getissG	consistencyErrors	semanticErrors	sumErrors	score
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																																																										class
262.0	212.0	51.0	0.5740740740740741	0.18518518518518517	2.0	3.8333333333333335	3.0	0.0	0.0	11.0	17.0	32.0	0.5370370370370371	8.368627450980393	73.46235294117649	7.2360784313725475	8.19499411764706	6.0	7.793537801064561	36.6078431372549	35.097190309675554	2.3636363636363638	0.6274509803921569	4.480896268889631	1123.8293444328824	28.53250773993808	0.37254901960784315	1.2602520756252087	0.3611111111111111	5.666666666666667	0.17647058823529413	2.0	0.0	10.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	3.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.09113354972257524	3.9	0.037541324241242235	1.335053360851008	1.335053360851008	1.335053360851008	1.0	0.8911837381597861	0.8911837381597861	0.8911837381597861	1.0	1.335053360851008	1.335053360851008	0.8911837381597861	0.8911837381597861	3.7761011388145547	1.335053360851008	1.0	0.667526680425504	0.667526680425504	0.667526680425504	1.0	0.2554141211921173	0.25541412119211726	0.25541412119211737	0.9999999999999996	0.6675266804255041	1.0	-1.7823674763195716	-1.0	1.0	0.21428571428571427	1	0	1	1
1016.0	839.0	194.0	0.576036866359447	0.16129032258064516	3.0	3.80184331797235	12.0	0.16666666666666666	0.0	12.0	16.166666666666668	116.0	0.37327188940092165	11.00274914089347	73.99181271477666	6.955206185567011	9.566047079037801	7.0	9.2995712137729	34.20790378006873	56.55388050089792	2.217391304347826	0.5979381443298969	8.328314639965763	606.8512751451898	96.48268569918054	0.39690721649484534	2.7282410027474047	0.6111111111111112	4.533333333333333	0.15463917525773196	8.0	2.0	28.0	1.0	1.0	28.0	15.0	0.0	0.0	0.0	2.0	50.0	2.0	13.0	0.0	0.0	0.0	10.0	0.0	6.0	0.0	0.0	2.0	0.0	2.0	0.0	7.0	9.0	6.0	1.0	3.0	4.0	1.0	0.0	0.0	17.0	1.0	10.0	3.0	0.2143313990019436	4.8	0.11018088051523339	1.2021243971500346	1.0349490964474302	1.3417563510209733	0.771339070360959	0.7285274133454493	0.5355598161186761	0.9001550527525592	0.5949639614653082	1.3259451143745877	1.4142135623730951	0.8831263116648332	1.0	7.446742720917873	1.122638705254311	0.5454545454545454	0.8952914441753088	0.8378815730700508	0.9490247081872314	0.8828869952927998	0.5559753402270148	0.44247199215319855	0.6661108845978836	0.6642617653970766	0.8960145654583327	0.9441425051723306	179.77537722254917	0.05547638731588083	0.8200947108036969	0.4046288209970755	2	0	2	2
512.0	417.0	100.0	0.5636363636363636	0.11818181818181818	3.0	3.727272727272727	8.0	0.375	0.0	5.0	12.5	77.0	0.44545454545454544	8.6	78.2455	5.451000000000004	7.4145	4.0	9.516144504307135	25.5	83.42314410660758	0.925	0.77	7.7	197.0350910114468	141.7804347826087	0.54	1.5	0.6388888888888888	4.222222222222222	0.21	2.0	0.0	10.0	0.0	0.0	7.0	10.0	1.0	0.0	0.0	1.0	16.0	3.0	2.0	0.0	0.0	0.0	7.0	2.0	9.0	0.0	0.0	2.0	0.0	4.0	1.0	5.0	5.0	1.0	4.0	6.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	2.0	0.02257173054519316	4.8	0.014897846330032938	1.1543768036604645	1.0291094758605348	1.2709311330436317	0.8097287485562012	0.670406130907929	0.5295331566529722	0.8076329724697848	0.6556606462383915	1.2604618522999198	1.414213562373095	0.8013165614006503	1.0	5.040229068355564	1.1270294819013476	0.6	0.7968514834264713	0.6572304347823181	0.8841066937807694	0.7433836203317905	0.4008783505167922	0.2263717165996798	0.5182096111954163	0.4368342688154336	0.8006580100895265	0.9056124285923169	12.171693909299206	-0.09926827318008893	0.8419056094461178	0.44117102853455104	19	13	32	1
431.0	345.0	89.0	0.6195652173913043	0.10869565217391304	3.0	3.6956521739130435	3.0	0.0	0.3333333333333333	62.0	29.666666666666668	66.0	0.4891304347826087	14.563295880149813	71.21097378277157	10.696853932584272	9.188528464419475	12.0	10.504223727775692	40.90262172284644	69.60847544541993	1.4285714285714286	0.7415730337078652	6.995986008041976	402.83203125	97.88764044943824	0.6292134831460674	2.3319953360139922	0.5277777777777778	6.0	0.14606741573033707	3.0	0.0	10.0	0.0	0.0	10.0	9.0	0.0	1.0	0.0	1.0	21.0	2.0	0.0	0.0	0.0	0.0	8.0	3.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	3.0	1.0	2.0	2.0	3.0	0.0	0.0	0.0	7.0	1.0	1.0	1.0	0.017197565721465607	4.8	0.01386225555489353	1.1931651008019328	1.1002207563217803	1.3044790731694078	0.8434177128258912	0.7157264262487367	0.605242856320635	0.8508328261684586	0.7113534383084573	1.3216000688251728	1.4142135623730951	0.8804471575316695	1.0	5.208463561817808	1.1646478582555297	0.6	0.8377755759193161	0.7497829629065363	0.9003141430321524	0.8328014934668863	0.4562700357947298	0.325522013871522	0.5539360070582593	0.5876527427784376	0.8392602254517579	0.9321859841335246	15.11175654396155	-0.09962586151647633	0.8658707204981344	0.32322629577899054	1	0	1	1
701.0	569.0	143.0	0.5503355704697986	0.14093959731543623	3.0	3.7114093959731544	3.0	0.0	0.3333333333333333	18.0	47.666666666666664	82.0	0.46308724832214765	20.744988344988343	49.5973892773893	18.183216783216782	9.64461282051282	21.0	8.841846274778883	62.35198135198135	46.72576665011575	2.1	0.5734265734265734	6.857184482058144	858.8367248838327	57.427261263326834	0.38461538461538464	2.090605025017727	0.5555555555555556	5.4	0.13986013986013987	5.0	1.0	24.0	1.0	0.0	17.0	17.0	0.0	0.0	0.0	3.0	40.0	1.0	1.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	2.0	2.0	6.0	3.0	3.0	0.0	1.0	12.0	0.0	2.0	1.0	0.0974688406525085	4.5	0.05336582083416555	1.1739589639717063	0.995866095495381	1.344150377238086	0.7408889007952014	0.6945032139970088	0.4958746400786076	0.9033701183146448	0.5489163633215217	1.3085178522836902	1.4142135623730951	0.8618596206093907	1.0	6.313166463723266	1.1160207043145542	0.5	0.8671610674212263	0.7909220343979934	0.9469897726176255	0.8351959622665861	0.5041443436172346	0.374500260826224	0.6479991727119339	0.5779332391103329	0.8684049562463453	0.9170161931590245	-51.489680719797086	0.035780878693967816	0.8556051460830469	0.4202490289548428	4	0	4	2
383.0	312.0	71.0	0.525	0.1875	3.0	3.8125	3.0	0.0	0.3333333333333333	11.0	23.666666666666668	51.0	0.4125	12.283568075117373	66.04150234741785	9.927323943661971	9.035859624413145	11.0	10.504223727775692	44.793427230046944	57.02456109720625	1.0869565217391304	0.7183098591549296	6.052586456788652	433.1528529779258	73.26760563380283	0.5070422535211268	1.6614943214713946	0.4444444444444444	5.6	0.19718309859154928	2.0	0.0	13.0	1.0	0.0	6.0	6.0	0.0	1.0	0.0	0.0	16.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	3.0	1.0	2.0	2.0	0.0	0.0	3.0	0.0	4.0	3.0	0.07782303065530495	4.5	0.04077224680285252	1.1992305424184753	1.1020812960163382	1.305979436642258	0.8438733911843569	0.7225645228901221	0.6072915915145257	0.8527911444662147	0.7121223003489865	1.2764749361872967	1.384137787422743	0.8196144073762589	0.9579187072857632	4.699772923271763	1.1749432308179408	0.5	0.7826417449197568	0.7222878651983315	0.8510187109789471	0.8487332368608753	0.379283321902975	0.30436101950521965	0.46750556948285604	0.6510318579560386	0.7840349517286804	0.9212899100970254	-7.75753442151802	-0.2217124035411725	0.9004471998318279	0.2668674925593184	4	0	4	1
209.0	167.0	43.0	0.6382978723404256	0.10638297872340426	3.0	3.4893617021276597	4.0	0.0	0.0	12.0	10.75	33.0	0.46808510638297873	6.16046511627907	93.61677325581398	2.8722674418604655	6.0057465116279065	2.0	7.168621630094336	22.377906976744185	55.304787067654374	1.4615384615384615	0.7674418604651163	5.032452820975954	400.390625	59.51511627906977	0.5813953488372093	0.6099942813304187	0.3888888888888889	4.25	0.20930232558139536	2.0	0.0	7.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.06741626536165453	4.8	0.08198814525838463	1.263334403475249	1.263334403475249	1.263334403475249	1.0	0.7980069075020817	0.7980069075020817	0.7980069075020817	1.0	1.263334403475249	1.263334403475249	0.7980069075020817	0.7980069075020817	3.573249294414442	1.263334403475249	1.0	0.6316672017376245	0.6316672017376245	0.6316672017376245	1.0	0.22476032980183525	0.22476032980183525	0.22476032980183525	1.0	0.6316672017376246	1.0	-1.5960138150041632	0.0	0.0	0.23529411764705882	1	0	1	1
539.0	429.0	119.0	0.6335877862595419	0.06870229007633588	3.0	3.2213740458015265	8.0	0.0	0.0	11.0	14.875	66.0	0.5190839694656488	6.286134453781513	88.65284138655464	4.589401260504204	7.956905042016807	3.0	6.6274283507984215	22.438025210084035	41.09004017626283	0.9803921568627451	0.5546218487394958	6.050210080386195	710.506424792139	45.23830664341209	0.3277310924369748	1.1000381964338537	0.5277777777777778	4.7	0.24369747899159663	2.0	1.0	10.0	0.0	0.0	15.0	9.0	0.0	0.0	0.0	0.0	24.0	4.0	0.0	0.0	1.0	0.0	15.0	0.0	6.0	0.0	0.0	2.0	0.0	3.0	0.0	8.0	3.0	3.0	1.0	8.0	6.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.06511066514418357	3.0	-0.009385436875418374	1.1164937661543668	0.9902307326723679	1.2414249911933717	0.7976565154536379	0.6281917164031646	0.4902784519644273	0.7705680043797313	0.6362559166456399	1.2151109123352477	1.3948422187885752	0.7468240580315788	0.9727924076575177	4.662292183818884	1.042520225398497	0.4	0.7726315706393192	0.7337779514029996	0.8009419287962853	0.9161437615156136	0.365539005474145	0.31901986168959007	0.40025250816280833	0.7970465023540196	0.7729548799414252	0.9650573308143311	9.527087957169007	-0.08958022682067543	0.8698640852420189	0.42953798584375585	0	0	0	0
