numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	avgDistanceNeighbouringPointsEuc	minDistanceNeighbouringPointsEuc	maxDistanceNeighbouringPointsEuc	indexDistanceNeighbouringPointsEuc	avgDistanceNeighbouringPointsCos	minDistanceNeighbouringPointsCos	maxDistanceNeighbouringPointsCos	indexDistanceNeighbouringPointsCos	avgDistanceAnyPointsEuc	maxDistanceAnyPointsEuc	avgDistanceAnyPointsCos	maxDistanceAnyPointsCos	clarkEvansNearestNeighbour	avgDistanceNearestNeighbour	cumulativeFrequencyDistribution	avgDistanceCentroidEuc	minDistanceCentroidEuc	maxDistanceCentroidEuc	indexDistanceCentroidEuc	avgDistanceCentroidCos	minDistanceCentroidCos	maxDistanceCentroidCos	indexDistanceCentroidCos	standardDistance	relativeDistance	determinantDistanceMatrix	moransI	gearysC	getissG	consistencyErrors	semanticErrors	sumErrors	score
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																																																										class
302.0	246.0	56.0	0.4406779661016949	0.11864406779661017	4.0	4.11864406779661	3.0	0.0	0.0	16.0	18.666666666666668	43.0	0.4915254237288136	9.609523809523811	70.05261904761907	8.125714285714288	6.25415238095238	9.0	10.504223727775692	31.166666666666668	63.33286584798737	0.9545454545454546	0.7678571428571429	5.746116701117124	317.46031746031747	74.92513736263739	0.5892857142857143	0.8017837257372732	0.4722222222222222	7.333333333333333	0.23214285714285715	0.0	1.0	8.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	1.0	11.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	5.0	3.0	0.0	1.0	2.0	2.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.9423955082893372	4.5	0.01744713289608102	2.1081616395957274	2.0456885873855066	2.170634691805948	0.9424379860452303	0.16770386902535855	0.15485836190903646	0.18054937614168065	0.8577064358700196	2.1927221188191757	2.361843077266072	0.18919601647902673	0.23218031138636297	7.230748473673679	2.087337288858987	0.6666666666666666	1.2658903970238888	1.1649841038988842	1.3496943256864278	0.8631466264084621	0.06526355190320617	0.04677391780146145	0.08185940084922572	0.5713933563673753	1.2681920896694037	0.9396142687620701	20.975257307132694	-0.47163619995117184	0.9716361490885417	0.15645664634589204	4	0	4	0
207.0	169.0	40.0	0.5476190476190477	0.14285714285714285	3.0	3.857142857142857	2.0	0.0	0.0	17.0	20.0	31.0	0.5	12.0	68.09500000000004	8.73	8.970749999999999	8.0	13.023866798666859	35.0	55.210506071181115	1.3076923076923077	0.775	4.901530373260988	511.2960760998811	56.058333333333344	0.55	1.4230249470757705	0.3888888888888889	6.0	0.2	2.0	1.0	5.0	0.0	0.0	8.0	2.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	3.0	0.0	0.0	1.0	5.0	0.0	0.0	1.0	0.933738648891449	4.5	0.010355975108017113	1.740943211613761	1.740943211613761	1.740943211613761	1.0	0.19290178713425643	0.19290178713425643	0.19290178713425643	1.0	1.740943211613761	1.740943211613761	0.19290178713425643	0.19290178713425643	4.924131002371109	1.740943211613761	1.0	0.8704716058068813	0.8704716045322223	0.8704716070815403	0.999999997071337	0.04947112443907359	0.0473048090398247	0.051637439838322474	0.9160951663741793	0.8704716124356586	1.0000000180566766	-3.030883266064037	-1.0	1.0	1.0	0	0	0	0
792.0	657.0	136.0	0.52	0.20666666666666667	3.0	4.346666666666667	5.0	0.0	0.4	21.0	27.2	69.0	0.4533333333333333	17.64470588235294	52.32700000000001	12.718000000000004	8.70091411764706	15.0	14.265292616868656	49.99411764705882	37.97074072578713	2.607142857142857	0.5073529411764706	5.916701187416555	1630.859375	39.187335381913954	0.27941176470588236	1.9722337291388516	0.4166666666666667	7.2	0.125	8.0	0.0	23.0	0.0	0.0	20.0	8.0	0.0	0.0	0.0	1.0	45.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	2.0	2.0	2.0	0.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	4.8	0.04157207963463949	2.2405164341995527	1.7483498011284386	2.561116929060402	0.6826513000208297	0.21651320420877038	0.13716608878204828	0.28665881728360587	0.47849945828229323	2.2447103233975136	2.71555276247746	0.2224459062094671	0.3079345493351425	9.717346450395794	1.8364058650859658	0.7142857142857143	1.4776576182700087	1.3298107881504495	1.691585594291056	0.7861327222449973	0.10044769458018785	0.08456468273202045	0.12298775583984278	0.6875861922559375	1.482995285489697	0.876689502094789	1283.6626056873256	-0.1478209177652995	0.9923637898763021	0.759438788543332	1	0	1	3
378.0	314.0	65.0	0.39436619718309857	0.18309859154929578	4.0	4.380281690140845	6.0	0.0	0.0	10.0	10.833333333333334	47.0	0.4225352112676056	9.256410256410257	70.89147435897436	6.062692307692313	7.817679487179487	7.0	9.725611199111238	30.833333333333336	55.80385517495561	1.08	0.7230769230769231	5.829632525692798	448.9603024574669	67.02521367521366	0.5538461538461539	1.61245154965971	0.4444444444444444	5.166666666666667	0.24615384615384617	2.0	0.0	10.0	0.0	0.0	6.0	4.0	1.0	0.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	2.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	5.0	0.0	1.0	6.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.9675798416137695	4.8	0.024134561878912164	2.1188589438111944	1.9283092624024964	2.25612061285803	0.8547013184546612	0.21796657125034546	0.15407798577364307	0.2710031218989045	0.5685469034232034	2.407703110993224	2.9574289144673114	0.27351245747145453	0.4000133776832465	8.28488609383608	2.07122152345902	0.5	1.4778874660945513	1.2516812145188811	1.7951492635264603	0.6972574592822607	0.10868933189811078	0.07908199454398035	0.16794432097594325	0.4708822190856233	1.491029939490332	0.8305883062981908	-93.36137534647202	-0.1827621629503038	0.8654109700520833	-0.46439891943684075	2	0	2	2
703.0	576.0	128.0	0.45774647887323944	0.13380281690140844	4.0	4.007042253521127	9.0	0.1111111111111111	0.0	11.0	14.222222222222221	70.0	0.4788732394366197	9.126388888888888	79.37913194444445	5.720729166666668	6.9324690972222225	7.0	8.515128840125781	29.06597222222222	41.385799479249435	1.325	0.546875	6.18718433538229	902.2053909556695	46.861530172413794	0.328125	1.5026019100214134	0.4166666666666667	5.5	0.1640625	2.0	0.0	17.0	0.0	0.0	16.0	11.0	0.0	0.0	0.0	7.0	29.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	8.0	0.0	0.0	0.0	0.0	5.0	0.0	9.0	7.0	3.0	0.0	0.0	2.0	2.0	0.0	0.0	4.0	0.0	0.0	3.0	0.9766087532043457	4.8	0.028542342557374978	2.4222772865549613	1.8768848655925268	3.036057474782597	0.6181980681136232	0.25811443837220976	0.11908836214250207	0.36171725093386287	0.32923052974400835	2.4567406083748873	3.036057474782597	0.26439748438248606	0.44112736963654664	10.023749930776743	2.0460893866384358	0.3333333333333333	1.5883421424224302	1.391584303778747	1.8176434014316316	0.7655980830358103	0.11740521211186045	0.058149996913654745	0.18083770184214576	0.3215590350977486	1.5980401732034522	0.8791824456219548	-961.4820324633694	-0.18466261291503905	0.9752891031901042	-0.4868526485594946	3	0	3	2
397.0	327.0	71.0	0.42105263157894735	0.11842105263157894	3.0	4.276315789473684	5.0	0.0	0.0	11.0	14.2	43.0	0.5131578947368421	9.060281690140846	73.26707042253523	6.567718309859156	6.7871580281690145	7.0	8.841846274778883	26.876056338028167	38.325484209182626	2.1333333333333333	0.6056338028169014	5.103161130233569	1456.9160997732429	35.3430583501006	0.4225352112676056	1.1867816581938533	0.3888888888888889	5.4	0.18309859154929578	3.0	0.0	18.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	1.0	22.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	4.0	0.0	1.0	1.0	3.0	0.0	0.0	2.0	3.0	0.0	1.0	1.0	0.967255711555481	4.8	0.012830861536704541	3.2575265312980566	2.8537154148695767	3.918954391527652	0.7281828594481721	0.3628204999038844	0.344094893277041	0.3767198877004917	0.9133972070797893	3.3561418868363515	4.994036221992886	0.35567104194401616	0.6135073384906995	10.147536803338873	2.5368842008347183	0.5	2.026442557153382	1.2573486938268472	2.9121582606921623	0.43175836656899286	0.14678668239642695	0.07143343969748606	0.2539466089289577	0.28129314267578887	2.13631300063786	0.7335841038324751	-318.8770725849961	-0.2879730563693576	0.9576615397135416	0.23448901913182676	1	0	1	1
498.0	407.0	93.0	0.4215686274509804	0.10784313725490197	4.0	3.9705882352941178	3.0	0.0	0.3333333333333333	39.0	31.0	64.0	0.49019607843137253	15.410752688172046	63.47967741935486	12.106451612903225	8.230229032258064	15.0	9.725611199111238	42.82795698924731	57.2097678393357	1.40625	0.6881720430107527	6.636490846274722	558.3333333333334	77.45494994438268	0.44086021505376344	1.6591227115686804	0.5277777777777778	8.75	0.22580645161290322	3.0	1.0	15.0	0.0	1.0	12.0	3.0	0.0	0.0	0.0	1.0	23.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	1.0	0.0	0.0	0.0	2.0	0.0	4.0	2.0	5.0	3.0	1.0	6.0	0.0	0.0	2.0	4.0	0.0	2.0	1.0	0.9740791320800781	4.8	0.025539938314113275	2.879833895801113	2.007755670947298	4.536736392224225	0.4425550654405459	0.39920293601086865	0.20725288458105284	0.7693320692471488	0.26939327354943865	3.028035363551864	4.536736392224225	0.4411466580845752	0.7693320692471488	10.670673642724456	2.3860351630847183	0.8	1.8973128989983175	1.2201640227356612	3.100102110817012	0.39358833326109205	0.19612540806740295	0.08524310758696008	0.4512049891034736	0.1889232380970227	2.0038187762645485	0.6463718470902472	787.0984224869225	-0.23561201095581052	0.9316684977213542	0.17261436775336936	15	8	23	0
454.0	373.0	86.0	0.5425531914893617	0.1595744680851064	3.0	3.9468085106382977	4.0	0.0	0.0	21.0	21.5	46.0	0.5425531914893617	12.786046511627909	67.9497093023256	9.122906976744186	7.824179069767442	10.0	10.686352973137792	38.94186046511628	33.88851836751097	1.3793103448275863	0.5348837209302325	4.960307567358167	1332.6446280991736	28.91046511627906	0.3023255813953488	1.1861605052378226	0.4444444444444444	7.75	0.20930232558139536	4.0	0.0	13.0	0.0	0.0	8.0	6.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0	5.0	3.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	3.0	4.0	2.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.9599854946136475	4.8	0.019835438385889415	2.506712164319058	1.6917017821431342	3.1414275448908127	0.5385137037123462	0.21009828305792314	0.11203322673347382	0.2626040258135468	0.42662417830951027	3.0688264979405386	4.317465298281072	0.2972672921176664	0.4920103394988813	9.211838275100309	2.3029595687750772	0.5	1.8649980886012263	1.2731000097935616	2.495513283105278	0.5101555733694139	0.11922429425754813	0.0687755529187839	0.1883494540518399	0.365148671468167	1.9401599713861462	0.7774592358135546	-222.15039937684816	-0.13190775553385414	0.7623006693522135	-0.1786402944431274	2	0	2	2
