numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	lexicalDiversity	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	avgDistanceNeighbouringPointsEuc	minDistanceNeighbouringPointsEuc	maxDistanceNeighbouringPointsEuc	indexDistanceNeighbouringPointsEuc	avgDistanceNeighbouringPointsCos	minDistanceNeighbouringPointsCos	maxDistanceNeighbouringPointsCos	indexDistanceNeighbouringPointsCos	avgDistanceAnyPointsEuc	maxDistanceAnyPointsEuc	avgDistanceAnyPointsCos	maxDistanceAnyPointsCos	clarkEvansNearestNeighbour	avgDistanceNearestNeighbour	cumulativeFrequencyDistribution	avgDistanceCentroidEuc	minDistanceCentroidEuc	maxDistanceCentroidEuc	indexDistanceCentroidEuc	avgDistanceCentroidCos	minDistanceCentroidCos	maxDistanceCentroidCos	indexDistanceCentroidCos	standardDistance	relativeDistance	determinantDistanceMatrix	moransI	gearysC	getissG	score	Selected
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete
																																																																																																								class	meta
1875.0	1538.0	350.0	0.5111111111111111	0.1259259259259259	1.0	3.723456790123457	16.0	0.1875	0.3125	18.0	21.875	173.0	0.454320987654321	12.521428571428572	72.23473214285717	8.618392857142858	7.7441571428571425	10.0	10.270032843473604	36.44642857142857	51.57258905783501	1.3858267716535433	2.023121387283237	0.4942857142857143	9.247238970169883	534.2173449169334	97.83087167070217	0.2885714285714286	0.11714285714285715	0.6666666666666666	6.368421052631579	69.0	14.0	2.0	20.0	1.0	0.0	54.0	27.0	1.0	0.0	0.0	4.0	84.0	6.0	4.0	0.0	0.0	0.0	22.0	12.0	23.0	0.0	0.0	3.0	0.0	10.0	0.0	24.0	2.0	13.0	5.0	15.0	10.0	0.0	0.0	4.0	12.0	0.0	0.0	9.0	0.9864674210548401	7.681818181818182	1.0754743675532898	0.2005685713465698	0.12929986637637134	0.33133180556715813	0.3902428447973533	0.0017972605713805104	0.0005599777185957278	0.0038663501992669547	0.14483367768959401	0.5522435182322538	0.9225013945371163	0.014455305524898342	0.03758351792632575	2.0553080417717875	0.18166528172050933	0.625	0.3991339652610037	0.2847726047283349	0.5613717277662992	0.5072799192461054	0.007029066208263553	0.0037921248257504203	0.01409873127553285	0.2689692250771054	0.4029735154886672	0.7178371908206685	-7.604307358612122e-16	0.8009137159778226	0.17589857737223308	10.636432966562008	8.0	No
2288.0	1870.0	423.0	0.4861407249466951	0.15778251599147122	4.0	3.8805970149253732	20.0	0.0	0.2	27.0	21.15	198.0	0.4200426439232409	12.904444444444444	65.16775000000001	9.423984633569741	8.60504354609929	9.0	11.792908689023552	38.64408983451537	51.140187606408674	1.5488721804511278	2.1363636363636362	0.46808510638297873	9.62708943886104	525.2049011814369	96.5940425531915	0.2695035460992908	0.1536643026004728	0.7222222222222222	6.416666666666667	88.0	18.0	8.0	37.0	0.0	0.0	57.0	25.0	1.0	1.0	0.0	15.0	101.0	10.0	6.0	0.0	0.0	0.0	20.0	8.0	16.0	0.0	1.0	2.0	1.0	8.0	0.0	33.0	9.0	20.0	4.0	19.0	3.0	1.0	0.0	9.0	23.0	0.0	1.0	9.0	0.9891108274459839	7.590909090909091	1.0683844246255605	0.19875321906677368	0.10396900612489557	0.295500568177697	0.35184029176679826	0.0018346356335265605	0.0005663227525186665	0.003750380678051668	0.15100407162210333	0.6050214851982061	0.8761154185525412	0.017408172115396296	0.036678056830072525	2.163840755085065	0.1755106611952808	0.39473684210526316	0.43578837495517897	0.3297982562746738	0.5216067597334983	0.6322737390197469	0.008513784577762366	0.0036530199397182272	0.012556580398892625	0.2909247441318012	0.4383223699277959	0.8403311029391287	-1.6072996324016287e-18	0.85287472561673	0.13834829966227213	221.7131305697981	9.0	No
1541.0	1263.0	283.0	0.5236593059936908	0.15141955835962145	3.0	3.8864353312302837	14.0	0.07142857142857142	0.21428571428571427	15.0	20.214285714285715	147.0	0.4637223974763407	12.325996971226655	66.14364840989398	9.055408884401821	8.321602069661786	9.0	11.899873341045815	37.175416456335185	51.42815053209128	1.7073170731707317	1.9251700680272108	0.519434628975265	8.738242984683131	546.7260012714559	88.98946424859697	0.33568904593639576	0.14840989399293286	0.75	5.190476190476191	53.0	16.0	2.0	28.0	0.0	0.0	31.0	16.0	3.0	2.0	0.0	4.0	76.0	10.0	5.0	0.0	1.0	0.0	12.0	1.0	9.0	1.0	1.0	3.0	0.0	8.0	0.0	13.0	2.0	9.0	1.0	25.0	3.0	0.0	0.0	3.0	9.0	0.0	2.0	7.0	0.9918382167816162	8.181818181818182	1.0721173559798114	0.1998003737453031	0.1465094979059713	0.339966512704225	0.4309527333753496	0.0016435832535249524	0.0009282542109581016	0.00372270705853317	0.24934924944748527	0.4630713613795954	0.7684004613344475	0.009788807137461063	0.022380035836731427	1.7517534178310712	0.18263291874576193	0.782608695652174	0.3279466691654876	0.2399454075996106	0.5212190106228837	0.46035429005719386	0.004692947323442503	0.002425640114039007	0.010679261511395977	0.22713556657925976	0.33569574094387417	0.6440588911854008	1.4228461464543613e-11	0.7118939370820017	0.23548688252766928	9.333273821255235	7.0	No
3165.0	2642.0	533.0	0.45145631067961167	0.20064724919093851	4.0	4.194174757281553	27.0	0.037037037037037035	0.18518518518518517	17.0	19.74074074074074	253.0	0.3673139158576052	14.12518935445765	57.12047460218196	10.196318532416093	9.740725168508096	11.0	12.586655827074043	43.005281078451816	55.98375185940773	2.0555555555555554	2.1067193675889326	0.474671669793621	10.958646470152512	512.786339025406	132.53002546234254	0.30393996247654786	0.21200750469043153	0.8055555555555556	4.636363636363637	90.0	18.0	0.0	45.0	0.0	1.0	65.0	51.0	3.0	6.0	0.0	14.0	161.0	18.0	24.0	0.0	1.0	2.0	13.0	8.0	28.0	1.0	1.0	1.0	0.0	15.0	0.0	32.0	16.0	5.0	8.0	20.0	9.0	1.0	0.0	4.0	49.0	1.0	4.0	9.0	0.9832195043563843	8.5	1.0819718758194927	0.20833743767323634	0.15834571228507432	0.2634017398663213	0.6011566680062028	0.002531133295510596	0.0014176728349428735	0.0045072096177956045	0.31453448034578696	0.682316276031386	1.193448862160042	0.026868425157542397	0.06249473308749931	2.779121379123806	0.19087083995915222	0.49056603773584906	0.4938758158902671	0.3539547073291692	0.6559919025683394	0.5395717629186668	0.01328599956216954	0.007582728826794782	0.019933825222130275	0.3803950693004238	0.4991935848665444	0.76097521298659	4.03123037101738e-25	0.8731566815498547	0.11842152913411458	13.75011543950521	10.0	No
2569.0	2105.0	473.0	0.4943181818181818	0.14204545454545456	4.0	3.890151515151515	30.0	0.0	0.06666666666666667	16.0	15.766666666666667	196.0	0.4678030303030303	10.61956307258633	70.46016314305852	7.348429175475687	7.022374446793517	7.0	10.4301	31.62290345313601	46.070299377532365	1.28	2.413265306122449	0.4143763213530655	9.012089601485375	819.667590027701	77.406095206112	0.22832980972515857	0.1014799154334038	0.7777777777777778	5.71875	88.0	15.0	5.0	56.0	1.0	0.0	42.0	23.0	7.0	1.0	0.0	24.0	107.0	12.0	3.0	0.0	0.0	0.0	22.0	4.0	32.0	3.0	0.0	2.0	1.0	21.0	0.0	41.0	4.0	6.0	1.0	25.0	11.0	3.0	0.0	5.0	13.0	0.0	0.0	9.0	0.9923478364944458	7.7727272727272725	1.075951691098334	0.19171920387408842	0.14221839013701093	0.2501314560827616	0.5685745901945047	0.0015143750810054251	0.0008406254748156705	0.0026478584390496884	0.3174737223177873	0.608590721937833	0.91930250275694	0.01621242771069324	0.03539705263248516	2.3773133733243537	0.1791967379184312	0.4772727272727273	0.43894152384272345	0.3590976121126363	0.6102929336705472	0.5884020480998835	0.007954506566711305	0.005347738996207885	0.014884754730811856	0.35927625902615085	0.44169152049762933	0.7237368630950759	-5.994585576183101e-22	0.8635992715525074	0.12487529754638672	1.981255111996445	8.0	No
1276.0	1031.0	248.0	0.532608695652174	0.12318840579710146	4.0	3.699275362318841	15.0	0.06666666666666667	0.06666666666666667	12.0	16.533333333333335	134.0	0.4963768115942029	10.323010752688173	77.13995698924734	6.607193548387098	7.06699688172043	6.0	10.047579312681364	30.24301075268817	52.088277231169464	1.1382978723404256	1.8507462686567164	0.5403225806451613	8.509008509012764	538.330078125	87.6460101867572	0.3387096774193548	0.13709677419354838	0.6666666666666666	4.409090909090909	52.0	9.0	0.0	22.0	0.0	0.0	28.0	16.0	0.0	1.0	0.0	5.0	51.0	3.0	6.0	0.0	4.0	0.0	18.0	6.0	16.0	0.0	0.0	1.0	0.0	10.0	0.0	16.0	7.0	4.0	5.0	16.0	4.0	2.0	0.0	6.0	16.0	0.0	1.0	10.0	0.9818572998046875	6.818181818181818	1.0720977813606654	0.19403001943657	0.12524951036018594	0.2442700744429102	0.5127501215440893	0.001583241869824016	0.0005902698077130397	0.0029392096766046594	0.20082602898712298	0.4998703970725854	0.8183416701300891	0.011275949640826798	0.02594446093035163	1.524985078756142	0.17492778549224836	0.5263157894736842	0.3597873002450253	0.27190828849725446	0.5517368889187485	0.49282238320174565	0.005357962612666014	0.002484355734395094	0.011566137360457862	0.21479562769923277	0.36709450017108236	0.6653434018637155	1.4017359516886722e-09	0.7358988783094618	0.21666717529296875	4.307357651978019	8.0	No
2808.0	2310.0	508.0	0.4830508474576271	0.13050847457627118	1.0	3.857627118644068	30.0	0.03333333333333333	0.0	20.0	16.933333333333334	220.0	0.423728813559322	10.237900262467193	69.24254855643048	7.808094488188974	8.144149238845145	8.0	10.355215969177355	32.09081364829397	49.43653226671827	1.3142857142857143	2.309090909090909	0.4330708661417323	9.760921603577252	617.5211808891606	97.5913167104112	0.2618110236220472	0.13582677165354332	0.75	5.484848484848484	84.0	16.0	4.0	45.0	2.0	0.0	64.0	36.0	2.0	0.0	0.0	16.0	128.0	7.0	3.0	0.0	1.0	2.0	29.0	23.0	33.0	1.0	0.0	0.0	0.0	13.0	0.0	34.0	6.0	12.0	3.0	15.0	14.0	2.0	0.0	3.0	10.0	0.0	0.0	10.0	0.993170976638794	8.454545454545453	1.089181534580388	0.2021878879483514	0.1449075871863264	0.3347964214792665	0.4328229870142155	0.0018447418855622845	0.0009138640251217245	0.005294495310387726	0.17260644717707768	0.6491513961685025	0.999653021752175	0.020098364751033646	0.0435265964570406	2.6327092312424947	0.18616065503039902	0.48	0.4666167187473219	0.362242684172043	0.6091278784441856	0.5946906995904888	0.009898770950501982	0.005491682227151795	0.016010236664673827	0.3430106838625971	0.47190731518979306	0.7747261804104556	-5.936323388840212e-24	0.8697726710313032	0.12438318888346354	13.578156568630304	10.0	No
2724.0	2243.0	509.0	0.5202020202020202	0.11616161616161616	1.0	3.718855218855219	39.0	0.10256410256410256	0.0	12.0	13.051282051282051	207.0	0.41919191919191917	9.385542290060954	73.41938290262458	6.261100196463655	7.137831801924336	5.0	9.788737146502573	26.607274192735883	46.218540953438676	1.4385964912280702	2.4589371980676327	0.4066797642436149	9.17511368858328	776.2430241660564	82.78895770176555	0.22593320235756384	0.10412573673870335	0.7222222222222222	4.6875	104.0	19.0	2.0	41.0	0.0	1.0	55.0	39.0	4.0	0.0	0.0	5.0	130.0	16.0	6.0	0.0	0.0	0.0	33.0	7.0	22.0	2.0	2.0	1.0	0.0	24.0	0.0	35.0	8.0	10.0	5.0	39.0	7.0	0.0	0.0	5.0	12.0	0.0	2.0	9.0	0.9918680191040039	7.681818181818182	1.0754735155824857	0.19759930369945158	0.12693495409019673	0.3095690843939596	0.41003756669919433	0.0017455671670815935	0.0007239792483978436	0.0032472502863548636	0.22295147726679612	0.6664707035801356	0.9915488036535952	0.021455761892601705	0.044280458736290496	2.550127339028229	0.18032123343160666	0.46	0.4833936888375872	0.3726983131416892	0.5982269819709835	0.6230048532979188	0.010570220376814456	0.006252420601845943	0.015763592451356834	0.3966367832167453	0.4859903680922267	0.812384591389599	-1.4670732901369457e-24	0.8824701633583121	0.11520339965820313	9.025234207666802	10.0	No
