numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	lexicalDiversity	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	avgDistanceNeighbouringPointsEuc	minDistanceNeighbouringPointsEuc	maxDistanceNeighbouringPointsEuc	indexDistanceNeighbouringPointsEuc	avgDistanceNeighbouringPointsCos	minDistanceNeighbouringPointsCos	maxDistanceNeighbouringPointsCos	indexDistanceNeighbouringPointsCos	avgDistanceAnyPointsEuc	maxDistanceAnyPointsEuc	avgDistanceAnyPointsCos	maxDistanceAnyPointsCos	clarkEvansNearestNeighbour	avgDistanceNearestNeighbour	cumulativeFrequencyDistribution	avgDistanceCentroidEuc	minDistanceCentroidEuc	maxDistanceCentroidEuc	indexDistanceCentroidEuc	avgDistanceCentroidCos	minDistanceCentroidCos	maxDistanceCentroidCos	indexDistanceCentroidCos	standardDistance	relativeDistance	determinantDistanceMatrix	moransI	gearysC	getissG	score	Selected
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete
																																																																																																								class	meta
1875.0	1538.0	350.0	0.5111111111111111	0.1259259259259259	1.0	3.723456790123457	16.0	0.1875	0.3125	18.0	21.875	173.0	0.454320987654321	12.521428571428572	72.23473214285717	8.618392857142858	7.7441571428571425	10.0	10.270032843473604	36.44642857142857	51.57258905783501	1.3858267716535433	2.023121387283237	0.4942857142857143	9.247238970169883	534.2173449169334	97.83087167070217	0.2885714285714286	0.11714285714285715	0.6666666666666666	6.368421052631579	69.0	14.0	2.0	20.0	1.0	0.0	54.0	27.0	1.0	0.0	0.0	4.0	84.0	6.0	4.0	0.0	0.0	0.0	22.0	12.0	23.0	0.0	0.0	3.0	0.0	10.0	0.0	24.0	2.0	13.0	5.0	15.0	10.0	0.0	0.0	4.0	12.0	0.0	0.0	6.0	0.15827390216707388	5.409090909090909	0.2898679392329794	0.40202593080974475	0.2630473797752245	0.5337022807661151	0.49287287923451845	0.08302866653904123	0.03459696200330575	0.14241906224747636	0.24292367508492568	1.0803458004209168	1.3880521517624802	0.6288753022877039	0.963344388006225	4.109710123612816	0.3632504871397033	0.53125	0.779550973343208	0.7245584333115835	0.8656696312595455	0.8369918582650915	0.3748783711078407	0.30750106250506226	0.4869853235118212	0.6314380488667805	0.7805273531986008	0.9016457607077389	-7.1519110165774565e-06	0.8295356019190887	5.086100760363876	0.8632108843064265	8.0	No
2288.0	1870.0	423.0	0.4861407249466951	0.15778251599147122	4.0	3.8805970149253732	20.0	0.0	0.2	27.0	21.15	198.0	0.4200426439232409	12.904444444444444	65.16775000000001	9.423984633569741	8.60504354609929	9.0	11.792908689023552	38.64408983451537	51.140187606408674	1.5488721804511278	2.1363636363636362	0.46808510638297873	9.62708943886104	525.2049011814369	96.5940425531915	0.2695035460992908	0.1536643026004728	0.7222222222222222	6.416666666666667	88.0	18.0	8.0	37.0	0.0	0.0	57.0	25.0	1.0	1.0	0.0	15.0	101.0	10.0	6.0	0.0	0.0	0.0	20.0	8.0	16.0	0.0	1.0	2.0	1.0	8.0	0.0	33.0	9.0	20.0	4.0	19.0	3.0	1.0	0.0	9.0	23.0	0.0	1.0	9.0	0.16049061255866845	5.954545454545455	0.2742234223360229	0.38495222502072474	0.19726586350984204	0.5016350312701222	0.3932457886969573	0.07692669422009521	0.01945691045314113	0.12581885229868806	0.15464225032788675	1.0863933024274526	1.3744207099348968	0.6313988161735093	0.9445161439489723	4.19304599438972	0.3401009400382759	0.47368421052631576	0.7831736938020921	0.7162116523662052	0.9070206933842128	0.7896309947394099	0.3793415253564598	0.2973125746307773	0.5468277427108822	0.5437042626199964	0.7840810276069393	0.8644577056797133	-1.0171109989282285e-07	0.815147956140425	6.58694561787882	0.858985358150333	9.0	No
1541.0	1263.0	283.0	0.5236593059936908	0.15141955835962145	3.0	3.8864353312302837	14.0	0.07142857142857142	0.21428571428571427	15.0	20.214285714285715	147.0	0.4637223974763407	12.325996971226655	66.14364840989398	9.055408884401821	8.321602069661786	9.0	11.899873341045815	37.175416456335185	51.42815053209128	1.7073170731707317	1.9251700680272108	0.519434628975265	8.738242984683131	546.7260012714559	88.98946424859697	0.33568904593639576	0.14840989399293286	0.75	5.190476190476191	53.0	16.0	2.0	28.0	0.0	0.0	31.0	16.0	3.0	2.0	0.0	4.0	76.0	10.0	5.0	0.0	1.0	0.0	12.0	1.0	9.0	1.0	1.0	3.0	0.0	8.0	0.0	13.0	2.0	9.0	1.0	25.0	3.0	0.0	0.0	3.0	9.0	0.0	2.0	7.0	0.17484733795278143	7.409090909090909	0.3920700761686623	0.3917926383441977	0.2824751118324086	0.4954683370448355	0.5701173833169628	0.07889366864512844	0.0398960944023653	0.12274443650698719	0.3250338307601765	0.9512814108711213	1.3228427886731162	0.49261318051175745	0.8749565217722332	3.4630485514358647	0.3610477697769255	0.4782608695652174	0.6809828975407961	0.5716184589114341	0.8638552180416907	0.6617063218154308	0.27281035220630434	0.17349131348535018	0.46192925841645427	0.37557983246200516	0.6864366075186267	0.7946199700856567	0.00014586099718661756	0.7547162064426133	5.107299277118816	0.8579506536057069	7.0	No
3165.0	2642.0	533.0	0.45145631067961167	0.20064724919093851	4.0	4.194174757281553	27.0	0.037037037037037035	0.18518518518518517	17.0	19.74074074074074	253.0	0.3673139158576052	14.12518935445765	57.12047460218196	10.196318532416093	9.740725168508096	11.0	12.586655827074043	43.005281078451816	55.98375185940773	2.0555555555555554	2.1067193675889326	0.474671669793621	10.958646470152512	512.786339025406	132.53002546234254	0.30393996247654786	0.21200750469043153	0.8055555555555556	4.636363636363637	90.0	18.0	0.0	45.0	0.0	1.0	65.0	51.0	3.0	6.0	0.0	14.0	161.0	18.0	24.0	0.0	1.0	2.0	13.0	8.0	28.0	1.0	1.0	1.0	0.0	15.0	0.0	32.0	16.0	5.0	8.0	20.0	9.0	1.0	0.0	4.0	49.0	1.0	4.0	10.0	0.18778369446522752	6.318181818181818	0.285352281450282	0.3886632677878066	0.26811900182798976	0.4868760352891382	0.5506925426484865	0.07676340532165035	0.03594389957061861	0.11852413686943519	0.30326227652865334	1.179488692895473	1.4025128712756396	0.7326228278011506	0.9835211770469195	5.278212432701372	0.36250911819842113	0.49056603773584906	0.8474621762585547	0.8064897240983464	0.9156846838579054	0.8807504791938797	0.4697168261942373	0.4052474220346165	0.5825609541858432	0.6956309363386174	0.8478205916221235	0.9258870510426568	4.556750755530367e-10	0.8523970895357241	7.249312283259374	0.8876623583406624	10.0	No
2569.0	2105.0	473.0	0.4943181818181818	0.14204545454545456	4.0	3.890151515151515	30.0	0.0	0.06666666666666667	16.0	15.766666666666667	196.0	0.4678030303030303	10.61956307258633	70.46016314305852	7.348429175475687	7.022374446793517	7.0	10.4301	31.62290345313601	46.070299377532365	1.28	2.413265306122449	0.4143763213530655	9.012089601485375	819.667590027701	77.406095206112	0.22832980972515857	0.1014799154334038	0.7777777777777778	5.71875	88.0	15.0	5.0	56.0	1.0	0.0	42.0	23.0	7.0	1.0	0.0	24.0	107.0	12.0	3.0	0.0	0.0	0.0	22.0	4.0	32.0	3.0	0.0	2.0	1.0	21.0	0.0	41.0	4.0	6.0	1.0	25.0	11.0	3.0	0.0	5.0	13.0	0.0	0.0	8.0	0.19621082428469797	5.954545454545455	0.29152276415609835	0.3628754694681774	0.19756509372389333	0.5263953225519581	0.37531696285996646	0.06826032536446243	0.019515983129065106	0.13854601780229003	0.14086282261042746	1.1398314872226332	1.4142135623730947	0.6970163418807553	1.0	4.428390059386663	0.3338024602801188	0.38636363636363635	0.8233895267445349	0.7297302274385156	0.9701145133246284	0.7522104013656032	0.4353541476141578	0.30370626964089753	0.6655401185915766	0.45633052186786893	0.8253333032075378	0.8507586391827926	-1.1345659923902232e-09	0.8291050523958972	6.88590759058921	0.8981526906079733	8.0	No
1276.0	1031.0	248.0	0.532608695652174	0.12318840579710146	4.0	3.699275362318841	15.0	0.06666666666666667	0.06666666666666667	12.0	16.533333333333335	134.0	0.4963768115942029	10.323010752688173	77.13995698924734	6.607193548387098	7.06699688172043	6.0	10.047579312681364	30.24301075268817	52.088277231169464	1.1382978723404256	1.8507462686567164	0.5403225806451613	8.509008509012764	538.330078125	87.6460101867572	0.3387096774193548	0.13709677419354838	0.6666666666666666	4.409090909090909	52.0	9.0	0.0	22.0	0.0	0.0	28.0	16.0	0.0	1.0	0.0	5.0	51.0	3.0	6.0	0.0	4.0	0.0	18.0	6.0	16.0	0.0	0.0	1.0	0.0	10.0	0.0	16.0	7.0	4.0	5.0	16.0	4.0	2.0	0.0	6.0	16.0	0.0	1.0	8.0	0.09155753546122629	5.545454545454545	0.17391649319989633	0.42483011812802174	0.19236146666140347	0.5491105781280461	0.3503146257301695	0.09422006764391182	0.018501466928063204	0.15076121350605876	0.1227203370004691	1.0184161170443533	1.4101389809659721	0.571870680501322	0.9942459728198757	3.22676241186995	0.37013503337254416	0.42105263157894735	0.7277611559922347	0.547468885959351	0.9001914130101498	0.6081694160230543	0.3230747630888855	0.1442883703376271	0.5214514388130054	0.2767052875835855	0.7360517805377766	0.8176614105621085	0.003554814939198104	0.746190609003721	4.1806639946706445	0.8806252452182395	8.0	No
2808.0	2310.0	508.0	0.4830508474576271	0.13050847457627118	1.0	3.857627118644068	30.0	0.03333333333333333	0.0	20.0	16.933333333333334	220.0	0.423728813559322	10.237900262467193	69.24254855643048	7.808094488188974	8.144149238845145	8.0	10.355215969177355	32.09081364829397	49.43653226671827	1.3142857142857143	2.309090909090909	0.4330708661417323	9.760921603577252	617.5211808891606	97.5913167104112	0.2618110236220472	0.13582677165354332	0.75	5.484848484848484	84.0	16.0	4.0	45.0	2.0	0.0	64.0	36.0	2.0	0.0	0.0	16.0	128.0	7.0	3.0	0.0	1.0	2.0	29.0	23.0	33.0	1.0	0.0	0.0	0.0	13.0	0.0	34.0	6.0	12.0	3.0	15.0	14.0	2.0	0.0	3.0	10.0	0.0	0.0	11.0	0.1606264163949895	7.954545454545454	0.34826317835559917	0.3893816789655757	0.246664696390689	0.5172724319218414	0.4768564515882792	0.0777089922867034	0.030421736222755458	0.13378538441316756	0.2273920754213661	1.155383891455545	1.3997684276542435	0.704538660691942	0.9796758255288168	5.00373191714971	0.35381727698561233	0.42	0.8303259894229441	0.7731750483354299	0.8891645408599361	0.8695522738543651	0.4436259239307631	0.36036518615145674	0.5336424232186388	0.6752933621317648	0.8309319391370771	0.9345086324893921	-1.0308316428998826e-09	0.8555384048890774	6.749254442637035	0.8476076329282403	10.0	No
2724.0	2243.0	509.0	0.5202020202020202	0.11616161616161616	1.0	3.718855218855219	39.0	0.10256410256410256	0.0	12.0	13.051282051282051	207.0	0.41919191919191917	9.385542290060954	73.41938290262458	6.261100196463655	7.137831801924336	5.0	9.788737146502573	26.607274192735883	46.218540953438676	1.4385964912280702	2.4589371980676327	0.4066797642436149	9.17511368858328	776.2430241660564	82.78895770176555	0.22593320235756384	0.10412573673870335	0.7222222222222222	4.6875	104.0	19.0	2.0	41.0	0.0	1.0	55.0	39.0	4.0	0.0	0.0	5.0	130.0	16.0	6.0	0.0	0.0	0.0	33.0	7.0	22.0	2.0	2.0	1.0	0.0	24.0	0.0	35.0	8.0	10.0	5.0	39.0	7.0	0.0	0.0	5.0	12.0	0.0	2.0	9.0	0.41230006945733166	7.681818181818182	0.42211431466452787	0.36186769701257304	0.23272211333678916	0.4960442850119875	0.4691559208895334	0.06717213424730524	0.027079791017970867	0.12302996634652719	0.22010727810570727	1.1291848171236372	1.409904195095007	0.6806157337500277	0.99391491967325	4.717942201069205	0.3336088923622221	0.54	0.8164650548614332	0.7852954714244912	0.8774754466661348	0.8949486557237919	0.42294144064490913	0.379345829056162	0.5121522657490117	0.7406895457181603	0.8167027727851958	0.9307414536647866	-3.3510252216992396e-11	0.8492548763594557	7.169444918537069	0.8611194916732832	10.0	No
