numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	lexicalDiversity	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	score	Selected
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete
																																																																											class	meta
3420.0	2741.0	720.0	0.6102502979737783	0.07866507747318235	1.0	3.233611442193087	38.0	0.10526315789473684	0.07894736842105263	18.0	18.94736842105263	249.0	0.4064362336114422	8.801169590643275	88.08092105263158	5.680862573099418	8.655372807017542	6.0	6.8360192770164	28.114035087719294	43.974829263073076	1.1428571428571428	2.891566265060241	0.3458333333333333	9.279682106624128	1133.465427018239	76.69680201698513	0.1763888888888889	0.08888888888888889	0.6666666666666666	4.084507042253521	164.0	61.0	4.0	45.0	0.0	0.0	58.0	59.0	0.0	1.0	0.0	7.0	209.0	5.0	11.0	0.0	0.0	0.0	64.0	24.0	21.0	0.0	0.0	4.0	0.0	24.0	0.0	40.0	86.0	8.0	5.0	16.0	9.0	1.0	0.0	9.0	26.0	0.0	7.0	28.0	0.08927893466648708	0.2488687782805421	0.4912585564570169	34.0	No
3962.0	3180.0	786.0	0.48904267589388695	0.0922722029988466	4.0	3.582468281430219	30.0	0.0	0.36666666666666664	23.0	26.2	301.0	0.46943483275663206	12.770076335877864	74.43818320610688	9.385506361323156	7.38688513994911	10.0	9.210782826323648	36.378117048346056	49.5665014907848	1.1084745762711865	2.611295681063123	0.38295165394402036	10.736314443846647	1056.9670044888705	103.02860234516407	0.22646310432569974	0.09414758269720101	0.8333333333333334	5.297872340425532	168.0	32.0	3.0	75.0	2.0	0.0	72.0	58.0	3.0	1.0	0.0	13.0	186.0	9.0	4.0	0.0	3.0	3.0	34.0	25.0	63.0	2.0	2.0	6.0	0.0	24.0	0.0	50.0	54.0	15.0	17.0	25.0	7.0	3.0	0.0	4.0	7.0	0.0	3.0	40.0	0.11654211960000933	3.746606334841629	0.911236678499006	46.0	No
4396.0	3547.0	869.0	0.5431211498973306	0.10472279260780287	1.0	3.586242299794661	39.0	0.0	0.23076923076923078	15.0	22.28205128205128	312.0	0.4537987679671458	11.62858576023133	73.23597916851085	8.579861910241657	7.612598834498835	9.0	8.986495653885253	34.01968074119973	48.01293612197176	1.2178217821782178	2.78525641025641	0.35903337169159955	10.58387509222303	974.7917226552003	97.94069412622694	0.2048331415420023	0.09781357882623705	0.8055555555555556	5.5	168.0	34.0	10.0	87.0	0.0	1.0	98.0	68.0	3.0	2.0	0.0	18.0	191.0	18.0	9.0	0.0	0.0	4.0	52.0	17.0	57.0	1.0	2.0	3.0	0.0	21.0	0.0	46.0	41.0	25.0	7.0	36.0	13.0	6.0	0.0	9.0	6.0	0.0	12.0	32.0	0.11328838411055844	0.39819004524886914	0.6459438220086278	40.0	No
3410.0	2692.0	713.0	0.5548387096774193	0.07096774193548387	2.0	3.4296774193548387	30.0	0.1	0.2	8.0	23.766666666666666	245.0	0.5212903225806451	10.460383356708743	81.73763978494625	7.762870967741936	6.96347533426835	8.0	7.3011	31.480551659654044	43.604039967003665	0.9895470383275261	2.910204081632653	0.3436185133239832	9.175322106845943	1039.7194181844077	69.7057320698625	0.16690042075736325	0.0785413744740533	0.8333333333333334	4.724137931034483	152.0	10.0	7.0	83.0	3.0	0.0	80.0	48.0	1.0	1.0	0.0	18.0	145.0	4.0	7.0	0.0	1.0	1.0	51.0	22.0	51.0	3.0	1.0	13.0	0.0	17.0	0.0	34.0	31.0	16.0	15.0	35.0	21.0	3.0	0.0	2.0	6.0	12.0	33.0	40.0	0.12889684876147417	-0.884615384615385	0.5307373126079264	30.0	No
2943.0	2299.0	649.0	0.5509915014164306	0.032577903682719546	4.0	3.198300283286119	26.0	0.07692307692307693	0.2692307692307692	29.0	24.96153846153846	201.0	0.4518413597733711	10.231148512504445	88.94742058788671	7.05409090909091	8.67003144482636	8.0	5.369823440869386	28.5054521749437	38.92157844108587	0.8389261744966443	3.228855721393035	0.30970724191063176	7.889940153387539	2528.8942107455227	49.050575748404135	0.15716486902927582	0.10323574730354391	0.7777777777777778	3.142857142857143	173.0	32.0	1.0	36.0	1.0	1.0	53.0	57.0	0.0	1.0	0.0	3.0	141.0	5.0	15.0	0.0	0.0	0.0	47.0	12.0	62.0	2.0	0.0	8.0	0.0	16.0	3.0	28.0	65.0	10.0	10.0	49.0	11.0	1.0	0.0	4.0	27.0	4.0	3.0	34.0	0.11786875959702355	0.5972850678733028	0.6278354870804221	26.0	No
4051.0	3346.0	779.0	0.5806772908366534	0.07669322709163347	1.0	3.289840637450199	72.0	0.375	0.0	2.0	10.819444444444445	251.0	0.29780876494023906	6.227649408073028	94.42014450506349	2.777465233204964	10.172939052916846	3.0	5.7366	20.703911710169734	42.38257540779353	2.340909090909091	3.103585657370518	0.32220795892169446	8.993008266945234	1368.7516796560064	76.89175613646086	0.15789473684210525	0.11553273427471117	0.75	3.2288135593220337	149.0	12.0	4.0	56.0	0.0	1.0	62.0	111.0	0.0	1.0	0.0	3.0	288.0	20.0	100.0	0.0	1.0	5.0	25.0	10.0	35.0	0.0	1.0	8.0	0.0	21.0	0.0	39.0	18.0	21.0	3.0	56.0	12.0	2.0	0.0	1.0	42.0	0.0	73.0	40.0	0.16673844719744949	4.201357466063349	0.7971724751440465	40.0	No
4428.0	3605.0	863.0	0.5745283018867925	0.08113207547169811	1.0	3.3566037735849057	82.0	0.1951219512195122	0.0	11.0	10.524390243902438	354.0	0.4009433962264151	6.434553316564451	89.88808573326175	3.336296667891361	8.330143591555267	3.0	6.584502450881947	20.48962778735551	54.59797220236139	1.343042071197411	2.437853107344633	0.4101969872537659	12.050300140985415	669.103129594623	151.20070481051383	0.23754345307068367	0.1436848203939745	0.7777777777777778	4.163043478260869	166.0	38.0	4.0	66.0	1.0	0.0	85.0	92.0	1.0	2.0	0.0	6.0	239.0	7.0	25.0	0.0	4.0	1.0	47.0	33.0	59.0	4.0	0.0	16.0	0.0	20.0	0.0	33.0	81.0	19.0	20.0	12.0	1.0	2.0	0.0	7.0	33.0	0.0	26.0	30.0	0.15705293111541918	4.133484162895928	1.0792459459883275	40.0	No
1443.0	1153.0	294.0	0.5266457680250783	0.05642633228840126	4.0	3.58307210031348	17.0	0.058823529411764705	0.058823529411764705	18.0	17.294117647058822	117.0	0.5172413793103449	8.822408963585435	83.67534813925572	5.884637855142056	5.83697531012405	6.0	7.5105763829236425	23.41656662665066	37.82912682642216	0.7899159663865546	2.5128205128205128	0.3979591836734694	6.82357856918171	1395.8140966451215	41.95771359391214	0.19727891156462585	0.05102040816326531	0.6111111111111112	5.65	54.0	19.0	2.0	23.0	0.0	0.0	29.0	27.0	1.0	1.0	0.0	2.0	46.0	3.0	0.0	0.0	0.0	0.0	30.0	5.0	30.0	0.0	0.0	3.0	0.0	13.0	0.0	23.0	1.0	1.0	2.0	20.0	7.0	0.0	0.0	6.0	0.0	0.0	2.0	40.0	0.09061795868358165	-2.98868778280543	0.29269266651971937	34.0	No
