numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	lexicalDiversity	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	avgDistanceNeighbouringPointsEuc	minDistanceNeighbouringPointsEuc	maxDistanceNeighbouringPointsEuc	indexDistanceNeighbouringPointsEuc	avgDistanceNeighbouringPointsCos	minDistanceNeighbouringPointsCos	maxDistanceNeighbouringPointsCos	indexDistanceNeighbouringPointsCos	avgDistanceAnyPointsEuc	maxDistanceAnyPointsEuc	avgDistanceAnyPointsCos	maxDistanceAnyPointsCos	clarkEvansNearestNeighbour	avgDistanceNearestNeighbour	cumulativeFrequencyDistribution	avgDistanceCentroidEuc	minDistanceCentroidEuc	maxDistanceCentroidEuc	indexDistanceCentroidEuc	avgDistanceCentroidCos	minDistanceCentroidCos	maxDistanceCentroidCos	indexDistanceCentroidCos	standardDistance	relativeDistance	determinantDistanceMatrix	moransI	gearysC	getissG	score	Selected
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete
																																																																																																								class	meta
3420.0	2741.0	720.0	0.6102502979737783	0.07866507747318235	1.0	3.233611442193087	38.0	0.10526315789473684	0.07894736842105263	18.0	18.94736842105263	249.0	0.4064362336114422	8.801169590643275	88.08092105263158	5.680862573099418	8.655372807017542	6.0	6.8360192770164	28.114035087719294	43.974829263073076	1.1428571428571428	2.891566265060241	0.3458333333333333	9.279682106624128	1133.465427018239	76.69680201698513	0.1763888888888889	0.08888888888888889	0.6666666666666666	4.084507042253521	164.0	61.0	4.0	45.0	0.0	0.0	58.0	59.0	0.0	1.0	0.0	7.0	209.0	5.0	11.0	0.0	0.0	0.0	64.0	24.0	21.0	0.0	0.0	4.0	0.0	24.0	0.0	40.0	86.0	8.0	5.0	16.0	9.0	1.0	0.0	9.0	26.0	0.0	7.0	27.0	0.986157763004303	-0.6787330316742075	2.1114361274986404	0.11773069529282498	0.06385913484227985	0.21067226980446824	0.3031207424762148	0.0004720394487576964	5.0687645853364494e-05	0.0012772919942468652	0.03968367928529267	0.5608612807996648	1.1569850578653567	0.010270813665143912	0.036221106021050886	1.70296132965332	0.10325719762504315	0.5441176470588235	0.4068640963776783	0.2209389329823238	0.7775554190291608	0.2841455767335317	0.00507739921869676	0.0017874960052211009	0.011431378932334146	0.1563674877547005	0.42263290375635876	0.5435405637260591	-2.0430970373697248e-48	0.9232347266353779	0.06184342384338379	2.9276051005773156	34.0	No
3962.0	3180.0	786.0	0.48904267589388695	0.0922722029988466	4.0	3.582468281430219	30.0	0.0	0.36666666666666664	23.0	26.2	301.0	0.46943483275663206	12.770076335877864	74.43818320610688	9.385506361323156	7.38688513994911	10.0	9.210782826323648	36.378117048346056	49.5665014907848	1.1084745762711865	2.611295681063123	0.38295165394402036	10.736314443846647	1056.9670044888705	103.02860234516407	0.22646310432569974	0.09414758269720101	0.8333333333333334	5.297872340425532	168.0	32.0	3.0	75.0	2.0	0.0	72.0	58.0	3.0	1.0	0.0	13.0	186.0	9.0	4.0	0.0	3.0	3.0	34.0	25.0	63.0	2.0	2.0	6.0	0.0	24.0	0.0	50.0	54.0	15.0	17.0	25.0	7.0	3.0	0.0	4.0	7.0	0.0	3.0	33.0	0.9941977024078369	2.4457013574660635	2.1817487024940814	0.10216992813309905	0.06910301489339445	0.1401560864516238	0.4930432679942587	0.0002592570815255895	0.00011905396083966568	0.0005150020684698831	0.2311718110053142	0.4610088757047223	0.8127921107958812	0.0053822346034843255	0.013301179501508109	1.5724311720508701	0.09330662368811178	0.5352112676056338	0.33834848172401283	0.2273861057403918	0.4959162838392787	0.45851711901859077	0.0026577700643026247	0.0012301540836249236	0.0061169000826839515	0.2011074346477082	0.343245131871591	0.6921433065884247	1.626686766339208e-54	0.9182164393833705	0.07113222599029541	0.8798288373242091	46.0	No
4396.0	3547.0	869.0	0.5431211498973306	0.10472279260780287	1.0	3.586242299794661	39.0	0.0	0.23076923076923078	15.0	22.28205128205128	312.0	0.4537987679671458	11.62858576023133	73.23597916851085	8.579861910241657	7.612598834498835	9.0	8.986495653885253	34.01968074119973	48.01293612197176	1.2178217821782178	2.78525641025641	0.35903337169159955	10.58387509222303	974.7917226552003	97.94069412622694	0.2048331415420023	0.09781357882623705	0.8055555555555556	5.5	168.0	34.0	10.0	87.0	0.0	1.0	98.0	68.0	3.0	2.0	0.0	18.0	191.0	18.0	9.0	0.0	0.0	4.0	52.0	17.0	57.0	1.0	2.0	3.0	0.0	21.0	0.0	46.0	41.0	25.0	7.0	36.0	13.0	6.0	0.0	9.0	6.0	0.0	12.0	30.0	0.9950218915939331	2.2918552036199094	2.178175320877873	0.10888859556491078	0.06730152097221431	0.14957770121933855	0.44994354388107854	0.00031707741873953087	0.00013076709563120126	0.0005919025762726182	0.22092672151332657	0.45533376022422695	0.8052569546181036	0.006082601431086792	0.016348706138386127	1.7621636088051016	0.0978979782669501	0.5555555555555556	0.32871933578463663	0.21540469164224957	0.5118106629109958	0.42086792490235514	0.003008583070558758	0.001260368158947922	0.005160086869579805	0.24425328309454528	0.3351128022510727	0.6547593245007642	1.0206866870263919e-60	0.9157797231674194	0.06976231575012207	1.0020743064560298	40.0	No
3410.0	2692.0	713.0	0.5548387096774193	0.07096774193548387	2.0	3.4296774193548387	30.0	0.1	0.2	8.0	23.766666666666666	245.0	0.5212903225806451	10.460383356708743	81.73763978494625	7.762870967741936	6.96347533426835	8.0	7.3011	31.480551659654044	43.604039967003665	0.9895470383275261	2.910204081632653	0.3436185133239832	9.175322106845943	1039.7194181844077	69.7057320698625	0.16690042075736325	0.0785413744740533	0.8333333333333334	4.724137931034483	152.0	10.0	7.0	83.0	3.0	0.0	80.0	48.0	1.0	1.0	0.0	18.0	145.0	4.0	7.0	0.0	1.0	1.0	51.0	22.0	51.0	3.0	1.0	13.0	0.0	17.0	0.0	34.0	31.0	16.0	15.0	35.0	21.0	3.0	0.0	2.0	6.0	12.0	33.0	41.0	0.9932293057441711	-1.4411764705882355	2.136760995295523	0.10282809697447347	0.07175651112458294	0.15715517615296476	0.45659654922685944	0.000252803146384654	0.00012563067012838491	0.0006081421186190372	0.20658110379472766	0.4038342677887573	0.7302037761152228	0.004074398620442795	0.009268534969446018	1.4528896684339747	0.09301173001651294	0.5409836065573771	0.29448159060109486	0.18505686707698152	0.4201893682561866	0.440413016266879	0.00200627450170706	0.000883512916083351	0.00345862682776088	0.25545193514136316	0.2996193508539025	0.71305788450304	1.6605893241916633e-47	0.9106559435526529	0.08400385856628417	0.7179422726047463	30.0	No
2943.0	2299.0	649.0	0.5509915014164306	0.032577903682719546	4.0	3.198300283286119	26.0	0.07692307692307693	0.2692307692307692	29.0	24.96153846153846	201.0	0.4518413597733711	10.231148512504445	88.94742058788671	7.05409090909091	8.67003144482636	8.0	5.369823440869386	28.5054521749437	38.92157844108587	0.8389261744966443	3.228855721393035	0.30970724191063176	7.889940153387539	2528.8942107455227	49.050575748404135	0.15716486902927582	0.10323574730354391	0.7777777777777778	3.142857142857143	173.0	32.0	1.0	36.0	1.0	1.0	53.0	57.0	0.0	1.0	0.0	3.0	141.0	5.0	15.0	0.0	0.0	0.0	47.0	12.0	62.0	2.0	0.0	8.0	0.0	16.0	3.0	28.0	65.0	10.0	10.0	49.0	11.0	1.0	0.0	4.0	27.0	4.0	3.0	32.0	0.9802886605262756	-3.509049773755656	2.0255550353984546	0.10846040471170292	0.0677125875300592	0.18344429405177337	0.36911798145626	0.00032873549997517213	0.00013425880242867727	0.0006914738226023731	0.1941632467349119	0.4331897678853858	1.0293133921548079	0.00505414298450353	0.0155364448111045	1.3956052052620709	0.0940916837440673	0.5454545454545454	0.3134684363470332	0.20149061699707121	0.636348035419195	0.3166358749962024	0.0024857964967970386	0.0013125601589369928	0.006276954247041777	0.20910781045689164	0.3269071097262335	0.5137237880003837	5.668015245809119e-42	0.9002412372165257	0.08375813484191895	0.5513509265031291	26.0	No
4051.0	3346.0	779.0	0.5806772908366534	0.07669322709163347	1.0	3.289840637450199	72.0	0.375	0.0	2.0	10.819444444444445	251.0	0.29780876494023906	6.227649408073028	94.42014450506349	2.777465233204964	10.172939052916846	3.0	5.7366	20.703911710169734	42.38257540779353	2.340909090909091	3.103585657370518	0.32220795892169446	8.993008266945234	1368.7516796560064	76.89175613646086	0.15789473684210525	0.11553273427471117	0.75	3.2288135593220337	149.0	12.0	4.0	56.0	0.0	1.0	62.0	111.0	0.0	1.0	0.0	3.0	288.0	20.0	100.0	0.0	1.0	5.0	25.0	10.0	35.0	0.0	1.0	8.0	0.0	21.0	0.0	39.0	18.0	21.0	3.0	56.0	12.0	2.0	0.0	1.0	42.0	0.0	73.0	33.0	0.9780292987823487	0.15158371040723928	2.099317523503659	0.11830918816921686	0.06235423416088111	0.19765595866712232	0.3154685271385799	0.0006013962162538439	0.0002009302569958571	0.0016892973751804208	0.11894309429942569	0.44337940981328827	0.736108204734365	0.011235938822163031	0.029535632930013156	1.8112624024612658	0.09881246503221808	0.4880952380952381	0.3228608936054795	0.23086270679919843	0.44387881807867186	0.520103004235451	0.0055677650668041045	0.0027871010496834936	0.010353706635774507	0.26918872126948235	0.32638879355365114	0.7353106158510692	-6.758435041857972e-64	0.9267406344126505	0.07340539455413818	0.8334577535196349	40.0	No
4428.0	3605.0	863.0	0.5745283018867925	0.08113207547169811	1.0	3.3566037735849057	82.0	0.1951219512195122	0.0	11.0	10.524390243902438	354.0	0.4009433962264151	6.434553316564451	89.88808573326175	3.336296667891361	8.330143591555267	3.0	6.584502450881947	20.48962778735551	54.59797220236139	1.343042071197411	2.437853107344633	0.4101969872537659	12.050300140985415	669.103129594623	151.20070481051383	0.23754345307068367	0.1436848203939745	0.7777777777777778	4.163043478260869	166.0	38.0	4.0	66.0	1.0	0.0	85.0	92.0	1.0	2.0	0.0	6.0	239.0	7.0	25.0	0.0	4.0	1.0	47.0	33.0	59.0	4.0	0.0	16.0	0.0	20.0	0.0	33.0	81.0	19.0	20.0	12.0	1.0	2.0	0.0	7.0	33.0	0.0	26.0	38.0	0.9957591533660889	4.495475113122172	2.2098520524658216	0.1134113818881361	0.06320511147070956	0.21147114933207725	0.2988829051638498	0.00038657269466444534	0.0001493025914406365	0.0007829502595649851	0.19069230722726946	0.5428678110595271	0.9653742188308836	0.009335132852355656	0.02619206841015198	1.928937388763178	0.10166392687248876	0.5777777777777777	0.39508626018318005	0.26420782578310775	0.5391511744565727	0.490044051280072	0.004628643148871126	0.002233625700026387	0.009214320707869872	0.24240807009448528	0.4003517326342791	0.7425593020826755	-1.037632977138769e-65	0.9365514519509305	0.056793656349182126	2.884524332114002	40.0	No
1443.0	1153.0	294.0	0.5266457680250783	0.05642633228840126	4.0	3.58307210031348	17.0	0.058823529411764705	0.058823529411764705	18.0	17.294117647058822	117.0	0.5172413793103449	8.822408963585435	83.67534813925572	5.884637855142056	5.83697531012405	6.0	7.5105763829236425	23.41656662665066	37.82912682642216	0.7899159663865546	2.5128205128205128	0.3979591836734694	6.82357856918171	1395.8140966451215	41.95771359391214	0.19727891156462585	0.05102040816326531	0.6111111111111112	5.65	54.0	19.0	2.0	23.0	0.0	0.0	29.0	27.0	1.0	1.0	0.0	2.0	46.0	3.0	0.0	0.0	0.0	0.0	30.0	5.0	30.0	0.0	0.0	3.0	0.0	13.0	0.0	23.0	1.0	1.0	2.0	20.0	7.0	0.0	0.0	6.0	0.0	0.0	2.0	40.0	0.9901268601417541	-2.255656108597286	2.126532770688634	0.09026796205010156	0.06069645166333612	0.1389114087498735	0.4369436046295326	0.0001956757556833851	9.286249884987718e-05	0.0004352650731482832	0.21334700296120798	0.20596910946484048	0.31102669869273647	0.0010225745585261052	0.0019370141817514064	0.634098040754302	0.07926225509428775	0.5	0.14662757687216643	0.10369131010436211	0.17887700988129046	0.5796793571917128	0.00047947780348651936	0.00026965467291650835	0.0007563970153487976	0.3564988589916136	0.14846631448049225	0.8299910295853625	-1.613419119063946e-13	0.6987103678385417	0.2537733840942383	0.6975321916602947	34.0	No
