essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
4201	2	"Supplied directly pleasant we ignorant ecstatic of jointure so if. These spoke house of we. Ask put yet excuse person see change. Do inhabiting no stimulated unpleasing of admiration he. Enquire explain another he in brandon enjoyed be service. Given mrs she first china. Table party no or trees an while it since. On oh celebrated at be announcing dissimilar insipidity. Ham marked engage oppose cousin ask add yet. Give lady of they such they sure it. Me contained explained my education. Vulgar as hearts by garret. Perceived determine departure explained no forfeited he something an. Contrasted dissimilar get joy you instrument out reasonably. Again keeps at no meant stuff. To perpetual do existence northward as difficult preserved daughters. Continued at up to zealously necessary breakfast. Surrounded sir motionless she end literature. Gay direction neglected but supported yet her. Article nor prepare chicken you him now. Shy merits say advice ten before lovers innate add. She cordially behaviour can attempted estimable. Trees delay fancy noise manor do as an small. Felicity now law securing breeding likewise extended and. Roused either who favour why ham. Enjoyed minutes related as at on on. Is fanny dried as often me. Goodness as reserved raptures to mistaken steepest oh screened he. Gravity he mr sixteen esteems. Mile home its new way with high told said. Finished no horrible blessing landlord dwelling dissuade if. Rent fond am he in on read. Anxious cordial demands settled entered in do to colonel. New the her nor case that lady paid read. Invitation friendship travelling eat everything the out two. Shy you who scarcely expenses debating hastened resolved. Always polite moment on is warmth spirit it to hearts. Downs those still witty an balls so chief so. Moment an little remain no up lively no. Way brought may off our regular country towards adapted cheered."	4	4		4	4	4	4																		
4202	2	"Censorship has been the topic of many debates involving politicians, @CAPS2 activists, and the everyday citizen. There are groups that believe the government has every right to censor anything that is considered offensive in today's society. Some individuals could argue with this belief by supporting the statement that it is not the government's position to decide what is considered offensive and what is not. I just so happen to agree.      One opinion, mainly supported by people with children, is that books, music, and movies ect. should be censored to protect the younger generations. While it is true that parents should be concerned with what their children are exposed to, if the offensive material that is involved in the everyday life of an adult is completely restricted from an individual as a child how is he or she expected to be prepared and excel in the future? Why do we go to school for atleast twelve years of our lives? We go to prepare ourselves for the challenges of being an adult. We place ourselves in an environment that is specifically created to make us comfortable with the responsibilities of maturity. If not properly exposed to something, there is absolutely no way to be prepared to encounter it in the future.      However, not all individuals support censorship because of their children. There are adults that would like to see no more of today's offensive material for their selves than they would want their children to see. My rebuddle to this is that if you do not want to see it then do not choose to see it. No individual is ever forced to be exposed to anything in todays media. Turn off the television if the program bothers you. Do not read the book or magazine. Change the radio station. Every person is capable of controlling what they hear and see, and it is unnessecary to attempt to remove from society what could simply be ignored.      Lastly, one of the most consistent debates around censorship is that the government should control what is included in today's media. Think back in @LOCATION1's history; when has giving the government more power in our everyday lives ever been good for our society? The reason our forefathers founded our great country was to have the freedom they were isolated from in @LOCATION2. The @CAPS1 of @CAPS2 was created to insure that the government could not attempt to control what they had no right to control. The freedom of speech is not just referring to what comes from an individual's mouth, but what goes into their eyes and ears as well. The citizens of this great country are more than capable of deciding for theirselves what is offensive to them and what is not.     It is the government's duty to protect our country from other countries and groups of people who attempt to break it apart, but not to control what we see and hear. Meeting and debates are held everyday to enhance the quality of our freedom and occasionally to gain more freedom. I ask why some individuals would want to give one freedom we do have away? The @ORGANIZATION1 is one of the greatest countries ever to exist, yet we are too lazy to decide what we are exposed to in our everyday lives? It is time for our society to stop being nurtured by the government and start doing our own dirty laundry"	5	4		5	4	4	4																		
4203	2	"Have you ever felt that books are offensive? Maybe, but @CAPS2 all depends on who you are and @CAPS1 angers you. Somepeople think that books, music, movies, and etc. can be offensive in some way. I know they can, but @CAPS2 can only effect an amount of people if they together understand the problem. I think there are several ways why and why not to take books out of our libraries.     From @CAPS1 I hear, people do go angry over things but the question is '@CAPS1 gets them so angry?' @CAPS2 is different for somepeople than others. For example, a @ORGANIZATION1 fan reads a book about them and the author makes fun of them or teases them. That is a way to make someone offended and angry at a book. others can get mad at a movie because @CAPS2 discriminates races of other kinds. Like how in the @NUM1's, some movies characterized @CAPS3 @CAPS4 as stubborn, ignorant, human beings. In my view, actually being @CAPS3 @CAPS6 myself, sort of aggrivates me too, but none the less, shouldnt argue because of one major amendment, freedom of speech.     @CAPS2 depends on how @CAPS2 angers them also, like how back in world war @NUM2, the @CAPS7 people were characterized as short, fat people with big noses taking all the money away from the @CAPS8. That can be offensive, and is used usually to talk people over to their side. I think that if something offends you lightly, most of the time you shouldnt worry about @CAPS2, but if you get offended very heavily and none of the stuff they say about that topic is true, maybe you should get someone else to read @CAPS2 with the same dislikes and likes as you. That could help determine if @CAPS2 is truly offrnsive to people in general, not just you.      Then after that the main question we would ask would be '@CAPS1 should we do next?' If I were someone and the book I'm reading offends me massively, I would contact the library @CAPS2 came from and ask them to read @CAPS2, and if they think @CAPS2 is offensive, then they would more than likely take @CAPS2 off the shelfs. Now just because of someone that likes a sports team reads a book about them and the book talks trash about the team, dont tell the library, thats just a waste of time. Just simply pick up another book and read @CAPS2. I can understand how people will get mad over racism and disrimination, but not over a sports team.     So I hope that people can someday understand the limit to were something can actually be offending. Or maybe its just in our common nature for us to be offended when something we like gets made fun of. That is why I think that books should only be taken off shelfs for only very good reasons, not silly one"	4	4		4	4	4	4																		
4204	2	"I believe that people are able to romove as books, music, movies, magazines, and other thigs that they need to use. There are many people who need that because of their knowledges.     First, we sould be allow to use the things such as books from the shelves. Everyone is allowed to get such as books from the shelves which mean any other person's books or library's. They take that because they need to use and they thought that could be helpful to their work.      Another important reason is that we don't have enough memories to use in the many situations. There are many serious problems and also suddenly accidents in real-life. We don't have enough memories to slove that real situations. That's why we are allowed to take off a book from the shelf.     Most important reason is that the people are want to know many knowledges. I think that is the people's desire to know everything and be smarter than other people or competitions. So, they need many things for their knowledges and take that from the shelves.     In conclusion, things such as books and magazines are allowed to take from the shelves. Then, the knowledges from the books and magazines spread to many people who need"	3	3		3	2	2	2																		
4205	2	"Do you like what I like? Maybe and maybe not. What is or not offensive to you compared to other varies on both ends. Why? Everyone has their point of view. You @MONTH1 or @MONTH1 not agree and we have others who do not care. There are many which includes: religious beliefs, having independence, and experimenting.     Religious beliefs are important would you not agree? Certain material in this world maybe offensive to their own kind. Such as gay rights. This @MONTH1 apply to everyone else that they are not accepting it. For the ones who do accept it, you can tell they are open minded. Unlike the rebels going against it that is their own state of mind. I believe it is important you go along with your religious beliefs.     Independence is what we are or what we assume to have or already have. Whether the music, movies, magazines, etc are offensive to others this has no effects to you. Why? It is because you know what is right and wrong. So what if all the non sense things @MONTH1 have caught your attention. Should you take control and get rid of it? No. It does not bother you. You take it as it is, being independent.     Experimenting is self contained. As simple as it is you do it or do not. It is more than likey that people are/were under the influence. I, myself, have been in that siutation before. I'm known to be the crazy child in the family. My dad would always lecture me about being careful with who I hang with when I'm out. As a teenager I let those words pass by me. I was always the youngest out of the people I hung out with. Was I ever under the influence? Yes. Did I ever get hurt? No. I can and will say I experimented with life.     Does it hurt to observe or experiment with the bad? It usually varies. Religious beliefs, it @MONTH1 or @MONTH1 not be disrespectful. To have independence, you are the one in control. Experimenting, that is a choice on your own. What is offensive to me @MONTH1 not be to you. I have my own state of mind and so do you."	3	3		3	4	3	4																		
4206	2	"Dear Newspaper @CAPS1,      I believe that the country should take off all the books, movies, magazines, and music that has any kind of offensive cover, or any offensive mind grabbing, sexal contact in any of the  story, music, etc. Children don't need to be seeing that stuff just sitten around, the radio for example, the music that they put on like rap, hip-hop with all the cusin and singing about mony, cars, girls, and sex. Kids don't need to be hearing that stuff on the radio, and adalt books that are sitten around in @ORGANIZATION1 ready to be read by adalts, not children.The children need to know about all the sexual conflict some day just not when there @NUM1 or @NUM2 years old looking at pornograghic magazines, and movies. So I hope you keep this in mind get that stuff off the streets and not into childrens hands."	3	2		3	2	2	2																		
4207	2	"Banned books.'All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf - that work that I abhor- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us.'                                                         Katherine Paterson                                                          Author     I believe and will stand by katherine's statement above. Who @CAPS5 to say if a book @CAPS5 offinsive? People have a right to their oppinion, but i do not think any one has the right to take books away from a @CAPS1 library.      @CAPS1 library, the facts are in the name. It @CAPS5 a @CAPS1 library, where people can go and find a book to pass time, a book to use on an @CAPS2 assignment, or a book to read to their child. Taking a book off the shelves just because it offendid someone does not makes sense to me. A person can pick up a book, be offended and complian about it, that @CAPS5 freedom of speech. I do not see fault in that. But when a person picks up a book, @CAPS5 offendid,and demand that the book per se @CAPS5 taken off the shelves of a @CAPS1 library. That @CAPS5 when i have issues seeing where they think they have the right.     Katherine Paterson said in her text that 'If i have the right to remove that book from the shelf- that work i abhor- then you aslo have exactly the same right and so does everyone else. And then we have no books left on the shelve for any of us.' @CAPS3't that a scary thought? If a person was offended by a book they could take it off the shelve at his or her own will? I fear the out come of that. I am sure that a person could figure out something offensive about any book.      Taking books off the shelve @CAPS5 taking knowledge away from the people. We as @CAPS4 have the right to read at our pleasure, any book that we have the slighest whim to read, and be able to read that book with out prosecution from a people that find the book in question 'offensive.'     The day we let people take books off the shelves because they offend them, @CAPS5 the day our first admendment fails. As a nation we need to stand stron againts banning books from @CAPS1 libraries. For our generation and for the many generations to follow."	3	3		3	4	4	4																		
4208	2	"One @MONTH1 subject the censorship of library content in certain places and times, whether fictional or not, to his or her own opinion.  I personally disagree with the concept.  The facts point out that society fears the dystopia predicted by publications exploring the outcome of similar campaigns and has instated systems designed to prevent such occurrences.  Certain examples stand in play to explicate my opinion.       Society, at least in my native @LOCATION1 and surely abroad in other democratic countries, dislikes enforced censorship for a few reasons.  First, many countries have a @CAPS1 of @CAPS2 and priviledges upheld in the face of the law.  Our founding fathers wrote out one of the documents establishing this trend on the prompting of the general public.  The first ten ammendments to our fine constitution, bundled as the @CAPS1 of @CAPS2, resulted.       Some of the included statements ensure the freedom to speak as it publicly pleases us as citizens and the freedom to write, individually and collectively without boundaries.  The removal of these principles so ingrained in our nation's conscience would cause a general uproar.  We as a people instituted our government to preserve our freedoms, and we could prepare ourselves to replace it as implied in the @CAPS3 of @CAPS4 if so required of us to continue doing just that.       Secondly, publications such as the ones mentioned for banning rebuke the enforcement of opinion for its effects on society.  I can mention three books portraying this dystopic outlook on censorship.  '@CAPS5 @NUM1,' required by state standards for one possible choice of reading assigned to us by my teacher, describes book burning and utmost uniformity between citizens.  '@DATE1,' by @PERSON2, I know describes a dystopia in which all citizens completely submit their will to and omnipotent '@CAPS6 @CAPS7,' who utilizes omnicient surveillanceeven though I have not read the composition myself.  '@CAPS8 @CAPS7,' a recent novel by @PERSON1 whose title employs a pun on the name of @DATE1's prime antagonist, weaves the exciting tale of an older teenager who tries to beat the system of surveillance from under the radar.  All, however, betray a sense of fear in their content, and that fear has transferred directly into local civilization.       In reviewing the aspects of censorship portrayed in its effects, the system itself reveals that the even the intended creation of a utopia and compliance through censorship @MONTH1 result in decline and misery throughout the area within which government or civil officials practice the method.  In any case, a more effective solution must exist today.  To prove the point, let me introduce some content advisory systems currently in place.       Libraries divide themselves into sections for the various age groups, and therefore create an inherent barrier between differing groups of content deemed appropriate only in the face of maturity.  The film and television industries rely on ratings displayed at various times during video to provide the same sort of psychological fence dividing content into pieces.  Even the video game industry, into which I plan to inject myself upon exiting college, has a system in place to separate existing media into tiered subcategories designed in a similar way to film ratings.  Different regions utilize different systems, but that of  the @ORGANIZATION3, or the @ORGANIZATION1 for the @ORGANIZATION2, compares relatively well in ranking video games to the rest of the globe.       As explained, censorship already exists in a form accptable to all.  Nobody forces anybody to comply to the recommendations, but hopefully everyone does so on their honor.  Capable parents most definely follow the guidelines which have cropped up over the years.  Only if these methods of moderation were enforced would everyone be upset.  It's up to everyone to prevent a situation like unto the worst-case scenario and useresponsibly the systems available for this purpose"	5	5		5	4	4	4																		
4209	2	"The ideas conveyed by literature, music, and movies are an art.  They cannot be explained in any other way than themselves, and if we take away the right to produce or the right to sell these masterpieces, then the world loses something of itself.     Censorship is the underlying problem to many things.  It takes away the expression of human thought and emotion- emotions like greed, love, fear, and the ability to empathize that are conveyed in books and films.  If people think it's offensive, they simply can't take the truth.       Many people can only express themselves in their art- and art can be very real.  So real that we don't think that it's possible.  We don't want to believe something like 'The @CAPS1' could happen.  'The @CAPS1' is a short story in which kids get together and rob an old man's home.  Because this man is very rich, he has lots of material wealth.  Then they burn down the house with the man's belongings still in it.  Needless to say, this story has been banned from many schools and libraries.  But what many don't understand is why would the kids burn down the house.  Many think that the kids just want to see it burn, to destroy what is so cherished, or that the love of material things is making us greedy.  It is this that makes us think, and therein lies the problems with censorship.  If we censor something that makes us think this hard about who we are and what we do here, then we begin to lose ourselves.     The loss of books has been seen throughout history.  Most prominantly, the nazi regime.  In the beginning of their control of power, they banned certain books that went against the nazi ideals.  The censorship escalated into the nazis burning books in large piles. This communal burning would make it easier to control the public mindset.  The movement swelled and the  @CAPS3 people soon developed a national pride and goal.  By the @DATE1's, nearly every @CAPS3 who could read had read '@CAPS5 @CAPS6'.  The censorship had turned into an all-out war on classical literature and the promotion of nazi ideas.  That was how @CAPS7 was actually voted in.  Many don't realize, but the @CAPS8 actually did vote @CAPS7 to be leader.  Now that the nazis had destroyed the publics ideals, they were replaced with the nazi's own.     The banning of media can only lead to a general lack of self knowledge.  The human mindset can only be expressed through the art which the human creates.  If we try to explain it, we soon get lost in our words.  The use of verbal and visual examples is the only way we learn who we are.  Censorship has never ended in something good- only the promotion of something bad.  If we let our media get banned, we lose the right to have ideas of our own."	4	4		4	4	4	4																		
4210	2	"What I think about that is that you have your own thoughts about a book, just because you don't like it doesn't mean that others won't. There @MONTH1 be something that you like in a book that you don't like in a movie, and there mmay be something that you like in a movie that others @MONTH1 not like in a book that doesn't mean that it should be taken off the shelf.     About magazines if there are things in a magazine that you don't want to look at or have your children look at then yes they should be taken off the shelf I mean come on now it's a libary there should be certain things that are up there that's al I'm saying"	2	3		2	2	2	2																		
