essay_id	essay_set	essay	rater1_domain1	rater2_domain1	domain1_score
6580	3	In "Rough Road Ahead: Do Not Exceed Posted Limit" by Joe Kurmaskie, the terrain has a negative effect on the author. He claims that "I had been hitting my water bottles pretty regularly, and I was traveling through the high deserts of California in June" (Kurmaskie). This shows that he has been drinking his water too fast due to the heat from being in the desert at summertime. After travelling from a long time with no water he lets out a chuckles thinking of how he shouldn't have taken the old mens advise. He explains that "It was a sad, hopeless laugh, mind you, but atleast I still had the energy to feel sorry for myself." This is an example of how badly the terrain had effected him. Its gotten to him so much that he applauds himself for having the energy to feel sorry for himself.	2	2	2
6581	3	The features of the setting affect the cyclist because the cyclist is tired and thirsty already. The features include a desert like setting of California, it is extremely hot, there are no signs of civilization in sight, and the roads are like hills that always were throughout the desert. On top of those facts the cyclist is dehydrating because his water suposely has diminished. 	1	1	1
6582	3	"The setting of the short cut affected the cyclist in many ways. For example, he said there was rusty water, and ""it tasted like battery acid"" because of this he was not able to drink it which made him become dehydrated. Also in the story is says, ""flat roads were replaced by short rolling hills."" This could of made the journey even harder for the cyclist because now he had a little more effort to get up the hills one more example is towards the end he says ""i began breaking my ride down into distances, i could see the horizon telling myself i could make it there."" By the cyclist saying this it seems like he has given up and he realizes that this journey is going to never end untill he dies. That is how the setting on the story affected the cyclist."	2	2	2
6583	3	Some features of the setting affected the cyclist. The rolling hills, poisonous snake, and the conditions of the road worried her. For example, @CAPS1 said, "I was going to die and the birds would pick me clean, leaving only some expensive outdoor gear and the diary." @CAPS1 had high doubt when saying that quote. @CAPS1 didn't think @CAPS1 would ever make it. Finally, @CAPS1 reached another destination and again finding herself asking another older man for directions!	2	2	2
6584	3	In "Do Not Exceed Posted Speed Limit" by @PERSON1, the features of the setting greatly affect the cyclist. The first major example is when the cyclist finds that the flat road is turning into "short, rolling hills," These hills are increasing the difficulty and are causing him doubt that he will make it. An additional part of the setting which caused major doubt was that he was in a deserted desert. "There was no one in sight, not a building, car, or structure of any kind." The horizon was what kept cyclist going. "I began breaking the ride down into distarres: I could see on the horizon, telling myself that if I could make it that far, I'd be fine.' The horizon kept him hopeful and determined. Without the setting he would not have been in such a serious but luckily in the end the setting helped him be determined enough to make it.	3	2	3
6585	3	I guess really sofcty comes first, and you have to be cautious when yay out in the streets on a bicycle. I really don't understand much, so I can't write much.	0	0	0
6586	3	When the biker listened to the old folks he had confidence. He biked to the first town but it was like a "ghost town." A town is a town. soon after that, he did not see anything. No cars, buildings, or anything. He was getting sad and dehydrated. The old men swore there was a town coming up so he put his trust and confidence in him once again. He saw a building  coming up, but it was just an old wore down factory. He thought he was let down. He was sure he was going to die, right there right now. He than saw a siga for a fish comp! He was overjoyed! The place was real to! He thought of them as his savior! The settings effect the cyclist tremendously.	1	2	2
6587	3	In the story "Rough Road Ahead Do Not Exceed Posted Limit" by Joe Kurmaskie there were many settings that affect the cyclist. One example would be when he came up to a water pump and he tried to get water out but water didn't come out. "…working the handle of the rusted water pump with all my strength. A tar like substance oozed out…." (Kurmaskie). Another example is when he came across rolling hills, and the scaring heat, he also came across a snake that took up most of the pavement.	1	1	1
6588	3	The feautures of the settings affect the cyclist if it is just between buildings and cars the cyclist won't be able to break free and bicycle freely. So it can affect him.	0	0	0
6589	3	The setting in the story was hot. The biker was sweating a lot. The whole town was empty. He pasted empty buildings. Their were rivers and big hills that he had to ride through. As it says about the buildings, "somehow, I climbed away from the abandoned factory of juices and dreams, slowly gaining elevation while losing hope." The setting would affect the cyclist because their was no one in the town. Also, their was high hills.	1	1	1
6590	3	The feature of the setting greatly affected the cyclist. He was a California desert in the month of June. There was no water in the desert so he had to use the water he had. He says the sun began taking harder ran and the terrain turned into short rolling hills. The hills made him work harder which dehydrate him guccher.and since there was no water in the desert, he could have died of dehydration	2	2	2
6591	3	When your with your family in ocean city biking down the board walk your only obstacle is people. When your in a race on whinedy roads you could have lots of obstacles. The wheather could be your greatest obstacle. You could pass out by lack of water and scorcing heat. You could fall over by slippery roads from the rain. Along with that nature could lay its toll apon you. "a ridiculously large snake…blocked the majority of the pavement in front of @NUM1, Kurmaskie) @CAPS1 like a snake you don't know what you could come across.	1	1	1
6592	3	Many of the features of the setting affect the cyclist. The cyclist is biking through deserts. "A rediculously large snake" this quote shows that only is weather and climate agasint him but also nature." I could drop from heat stroke" another great quote showing how hot it really is where the cyclist is." There was no one in sight, not a building, car, or structure of any kind." A great detailed desciption of where the cyclist is and how deserted the area is." The bottle only contained a few  tantilising sips." This cyclist is low on water in the desert and in the desert with no water that could be a very bad thing. The above quotes really draw you in and you get to see the many features of the setting and what its like for the cyclist.	3	2	3
6593	3	The features of the setting in Rough Road Ahead: Do Not Exceed Posted Speed Limit." Affect the cyclist in many ways. First in the essay when the @CAPS1 says he is in the deserts of California, that can affect because it gives them an idea of how hot it most likely was out there and how lack of water can really harm someone. Also when the @CAPS1 describes the water pumps and what comes out o them, it can give the cyclist a feeling of disgust and remind them to always keep a good water supply.	2	2	2
6594	3	"Many things in the setting of the essay ""Do Not Exceed Posted Speed Limit" affected the cyclist throughout his journey. One very important part that affected the cyclist greatly is the fact that he was in a deserts without a good supply of water. Another part of the setting that challenged the cyclist was the length of his journey. Those two factors of his journey to Yosemite combined are probably the worst and most challenging things that affected the cyclist."	1	1	1
6595	3	The features of the setting affected the cyclist because. It was a lack of the water and he was in the high deserts or California .For example in the text stated "when I tried a drop or two, it  had the flovor of battery acid. That showed clearly when he tried to get water from a pump what it clearly came out as the settling was extremely hot and made the cyclist misreable in such ways.	1	1	1
6596	3	In the story the features of setting affect the cyclist because there is not much he can depend on. For example, it is the desert and usually there is nothing there. The cyclist only has a limited supply of what he needs and riding through there does not help him. For example, the old men who gave him directions made him think he could make it longer before he could elgo. This affected him because throughout his journey his lack of water slowed him down and made him think he wasn`t going to make it. When he finally got to "Gary & Wilber's fish camp," he learned a lesson because when an old man asked if he know the quickest route to Yosemite he said yes, I have a very good map.''	2	2	2
