essay_id	essay_set	essay	rater1_domain1	rater2_domain1	domain1_score
7280	3	In the story," Do Not Exceed Posted Speed Limit," written by the @CAPS1, the setting reflects how the cyclist is feeling. For example, "Flat roads was replaced by short, riding hills "@CAPS2 as the terrain was changing, so was his attitude. When he first started the journey, he was happy and care free and the land had no hills and he flat. However, once he notice that everything is not has the men said, he seems to grow a little angry and upset, @CAPS2 like the land seemed to reflect this soon he found himself in a bumby and unpleasant road. The setting also seemed to give the man more obstacles to overcome on adventure" tumbleweeds crossed my path a ridiculously large snake blocked the majority of the movement in front as me." The land seemed to be leasing and tormenting him, when he started to figure out that listening to the old men was a mistake.    	3	3	3
7281	3	In the story "Do Not Exceed Posted Speed Limit" by Joe Kurmaskie the features of the setting affects the cyclist by draining him of energy, he is sweating so much, he keeps on drinking his water and slowly finishes it and still has a long ride ahead of him. "The water bottles contained only a few tantalizing sips."(Kurmaskie's) since is was so hot the cyclist was thirsty and drank all of his water. It was a warm day and he needed to stay hydrated.	1	2	2
7282	3	In the book ‘Do Not Exceed Posted Speed Limit" by Joe Kurmaskie the setting was in codi, California. The author went on a journey	1	1	1
7283	3	Throughout the riders long journey the setting greatly affected him. For example, the hot weather caused him to drink the majority of water suply making him dehydrated and tired. If the weather was cool he would have lasted much longer.	1	1	1
7284	3	"In this story the cyclest was affected physically and emotionally in many ways. One such way was the setting around him. For example, when he rode into the first town he gained of boost of confidence because he believed that he was on the right track to Yosemite. Then when the cyclist rode upon that old shed and the rusty water pumps he began to feel a little worried because he was running out of water and The Old Timers never mentioned the shed. When the cyclist encountered the rolling hills with tumbleweeds and snakes I believe he began to feel dismayed because he was lost. I believe this because in the text he says ""I was going to die and the birds would pick me dead."" This shows how hopeless the man fealt. when he reached ""Gary and @CAPS1 fish camp"" he was relieved and thankfull because he no longer had death blazing towands him in the form of a yellow sun, empty spaces, and empty water bottle. This was how the the features and setting affects him in many ways."	3	2	3
7285	3	Riding through beastly mountains, hot and burning deserts and no water. A cyclist was riding through a town and asked for directions. The two old men gave him the wrong directions and send him on a trip through hell that only a determined person could get through. First he had to go miles without water which resulted in him loosing faith becoming dehydrated and not continuing with his plans. The terrain he had to go through was unbearable and could almost kill him without water. Luckily he had faith and determined so he got through it and learned a lesion. Maps are made for people to use so if you have a map you should trust it and in the ending it shows that the cyclist learned that because he said "And I promised myself right then that I'd always stick to it in the future."	3	3	3
7286	3	In the short story " Rough Road Ahead Do not exceed pusted speed limit." A lot of things affeced cyclist. Such as the rocky road , and the lack of water for example where the author says "when I tried a drop or two, It had the flavor of battery acid." this shows how has loosing lope, and he seems a little scared. Also the abandond towns  didn't help.	1	1	1
7287	3	All the features of the environment through which the cyclist is riding affect him greatly. First, since he is riding through the desert in June, that means that it is very hoy out and he will need plenty of water for his long bike ride. Also, the terrain of which he is riding is rough which causes him to lose energy. The sun was also beggining to heat down on him which means that he was going to have a hot ride to the town and which later caused his struggle for water. Overall, the hot, desert setting affects the cyclist. It causes him to dehydrate and have a need for water. In the story it says, "The water bottle contained only a few tantalizing sips" and that he could drop from a heatstroke on a beautiful day in June, This is basically showing that the hot environment caused him to drink a lot of water, and now he has run low which could cause him to have a heat stroke.	2	2	2
7288	3	THE FEATURES OF THE SETTING AFFECT THE CYCLIST BY DEPLETING HIS WATER SUPPLY, AND ALMOST GIVING HIM HEAT EXHAUSTION. IN THE TEXT, HE SAYS: THE WATER BOTTLES CONTAINED ONLY A FEW TANTALIZING SIPS." THIS HOTNES HE HAS LITTLE WATER LEFT FOR SURVIVAL UNTIL HE RUNS OUT.	1	1	1
7289	3	The features of the setting affect the cyclist greatly. At first it was flat road which the speaker was happy with and he had "a smile on." (@NUM1). Then came large rolling hills which created a challenge, the cyclist needed to muster up enough energy to continue. The rough terrain was next causing the cyclist to work even harder to cycle. As if the rough terrain wasn't energy soaking enough, a snake blocked a majority of pavement and large elevations came into play. The harder the terrain, the harder for the cyclist.	2	2	2
7290	3	The features of the setting affect the cyclist because depending on how the setting is, is how much skill they need. Like if their going down hill then they really only need to know how to control the bike. If their going up a mountain with lots of bumps they need to have some skill. Usually if their riding in a shady area then the wear clothes to keep them cool. But if their going to be in the sun the they need to wear light clothes. The setting affects the rider very much.	1	1	1
7291	3	"The setting in "Do not exceed posted speed limit affects the cyclist in many ways. The old men told the cyclist there were flat roads on the path he was to take, when the cyclist got there, there were hills not flat roads. The cyclist traveled through the desert to get to his destination. He started to run out of water because it was so hot and humid. He started to get dehydrated and could bairly keep his balance. In this story the cyclist had to pass a large snake "a ridiculously large"" snake – it realy didn't look like a diamondback – blocked a majority of the pavement in front of me "(Kurmaskie). The snake was big and the cyclist had to work his best to pass it while wobbling from dehydration. The settings in this story had effect on the cyclist in many ways."	2	2	2
7292	3	"The features of the setting affect the cyclist for many readers after another. @CAPS1 are some examples why the cyclist was bike riding down a windy road. He is in a hot place similar to a desert. It is very hot there and is affecting him during his travels,""I eased past, trying to keep my balance in my dehydrated state. Another thing that affected him because of the setting was that the desert had rocky roads and windy paths because he followed the old mans direction. ""Rough Road Ahead"" are final example is that he was in the desert so he saw a snake come out of the tumbleweeds."" A large snake it really did look like a diamond back."" @CAPS1 are three examples how the cyclist had been affected due to the setting of the story.   "	2	2	2
7293	3	The fetures in the settings like hills, make the cycleist use more energy, the more enegy that he uses the more water he will whant to drink. This is difficult because he states "The water bottle contained only a few tantalizing sips". Therefore he was in trouble.	2	2	2
7294	3	In the story the features of the setting affect the cyclist in many ways. For example he is in the desert and it is very hot outside. Also he is running out of water. This is bad because he could become dehydrated. Another example is when he comes upon the building he thinks it is a mirage at first because he's pretty much dehydrated. The rough terrain also makes it hard for him to pedal and he is already weak from lack of water. In conclusion all these elements of the desert affect the cyclist in some way.	2	2	2
7295	3	The features of the setting affect the cyclist's mood towards the journey. At first, he is confident that the old men's knowledge of the land is accurate and he is excited about what lies ahead for him. However, his excitement soon turned into dismay and slight doubt as his journey drags on. The heat of the weather and lack of water makes the cyclist develop an uncaring matter. "I'd read once that sucking on stones helps…with any luck I'd hit a bump and lodge one in my throat." The verbal irony in this passage delivers a negative feeling to the reader and it is here that it is clear that the cyclist doesn't care what happens to him. When he finally reaches a sign of civilization, the cyclist becomes himself again and decides that his knowledge is best.	3	3	3
7296	3	In the story "Do Not Exceed Posted Speed Limit while riding his bike the author Joe Kurmaskie has alongride. Where he is riding there is up and down hills also the road is very rough. He was running out of water in the desert. "I stopped at a rusted water pump to get water and a tar like substance oozed out." @CAPS1 that he is off his bike he least worrie about the posionous snakes of the desert. He founded Welch's grape juice factory but it was abandoned. The author found a bait shop and got water	2	2	2
7297	3	In the short story "Do not @CAPS1 the Posted Speed Limit" by Joe Kurmaskie, the setting of the story affects the cyclist in many ways. In the story the cyclist experiences many changes in temperature and climate. He also experiences changes in land structure which makes it extremely hard to pedal and get where he needs to. From my reasoning is why the setting @MONTH1 affect the cyclist.	1	1	1
7298	3	The hot sun and the desert features in the setting are affect the cyclist in ways that could potentially stop him from making it to his destination. The sun is beating down on him and is making it harder for him to reach his destination. "The sun was begining to beat down...wide rings of dried sweat circled my shirt." By him being so hot and tired fromthe sun, he thought that he would die from dehydration. This would very likely stop him from making it to his destination, Yosemite. His lack of water supply didn't help the situation either because he could only go @NUM1, was "water depleting @NUM2."	2	1	2
7299	3	The features  of the   setting   does   affect the cyclist. For example, if it is hot outside then he would need more water than normal. Also if it was raining he would have to drive more careful. That is why the setting would affect the cyclist.	1	1	1
7300	3	"The environment around people in certain situations can affect them in many ways. For instance if  you are hot, tree could be shade, or thirsty, a river neer by could help your thirst. If you were hungry and hot, but nothing was near you this could make you hot. In this cyclist case the environment affected him in many ways, from bumpy roads, "ghost towns, and trees. For example he said, "The sun was beginning to beat down, but I barley noticed," this is because of the ""cool pines"" around him as he explains in the next paragraph. It also says in the text that the terrain changed and he even came upon a snake, which added to his thirst. So then making it harder for him to go one. From reading the the text on can see how features can have effects on a person."	2	2	2
7301	3	"The features of the setting stronger, effect the cyclist's journey to Yosemite. The features of the land;in, and hills, the fact that it is desert, and the setting in the middle of june also effect this story.The dry and hills land is a huge factor for the main character. Because if is hilly, he has to work twice as hard. The land is dry, so he his thirsty and has no where to get anything to drink.The land is also desert, so there is no where he can go for help or to get food, water, or civilization. He believes that he is not going to make it. The text explains in paragraph !!, "" the growing realization that i could drop from heatstroke on a goregous day on June simply because i listened to some gentlemen who hadn't been off their porch in decades, caused me to laugh"" The setting plays a huge role in the story. It is hot, dry, and deserted this out effects the main character and journey."	3	3	3
7302	3	The cyclist in the essay Rough Road Ahead: do not exceed posted speed limit feels discouraged and dehydration because of the setting. Near the beginning, after viewing the first stop which consisted of a few broke buildings and some rusted pumps he states "This sight was troubleing," He also feels dehydration when he reaches the pumps and finds the produce "A tar like substance oozed out, followed by blackish water". Also as he is pedaling he sees a sign that says do not exceed 55 miles per hour. He	3	3	3
7303	3	In this quick passage by Joe Kurmaskie, the many conditions  of the road and the area around it determine how he acts and what he feels, " The  sun was beginning to beat down , " (Kurmaskie) .He is starting to get tired ‘because ‘ it is becoming hot and sunny, so he is feeling less confident. He was traveling through the high deserts of California in June ". (Kurmaskie).Not only is he very tired and hot not where he is riding is barron and open and there is no one around him to give him help or to find water. Through the passage you can tell that the temperature and weather around the cycler can change how and why how he does. 	2	2	2
7304	3	that   explains  for my features I'm the of the setting affect the cyclist. the   essay that support your conclusion is the cyclist .the features is the setting becaused the cyclist the Include the support for the conclusion.	0	0	0
7305	3	The scenery makes the cyclist hapy. He's sooooooooooooo happsy! Woohoo! happsy	0	0	0
7306	3	In this story the setting has a affect to the cyclist trip and to him self. It being hot and over @NUM1 degrees and going down hill with a lot of turns. The cyclist is getting so hot that hes water is no longer cold. Being in this desert is killing and about to make him have a heartstoke. All the things in the desert is doing a lot affect to the cyclist.	1	1	1
7307	3	The setting of a situation can affect a person both mentally and physically. This is evident in @PERSON1 "Do not Exceed Posted speed Limit." The cyclist is unaffected, for the most part until the directions he was given by "a collection of old timers who haven't left the confines of their porches since Carter was in office." takes him over terrain not suitable for biking. Prior to following the men's directions, the setting was enjoyable a made for an easy ride a reader knows this because the cyclist is confident. For example, he says "The sun was beginning to beat down, but I barely noticed it. The cool pines and rushing rivers of yosemite had my name written all over them." This confidence begins to depleat as the cycling gets harder. For example, the cyclist says "sometimes life can feel so cruel." after he hits rolling hills and a sign warning of rough road and not exceeding the speed limit. The cyclist became disappointed and wanted to give up because he couldn't even reach that limit. However, he's determined and pushes through to reach a shop. This gives a sense of satisfaction and confidence. So in conclusion setting can have a powerful affect on mood or motivation.	3	2	3
7308	3	The features of the setting affect the cyclist by making him ???  are ??? like when he rood through that ghost town. The setting is a big part of this story thats all that talk about. And when hes getting water or how the tumbleweeds are crossing the road. He was all ways thirsty and rode his bike along ways and is no paint in ??? ??? ???.	2	2	2
7309	3	How the setting changes the mood of the cyclist is that what he sees pretty much discribes how he feels. Like he starts off with strong less and a smile on his face. Then he comes to the first town which was a ghost town, that didn't really dampen his spirits because when he sees it he laughs. Also when the setting changes so does his confidence in the old men's direction giving. Like at the first town he still has confidence in what they told him. Then he notices that it starting to get hotter but that doesn't change his mood much. @NUM1 miles later comes top a fork in road with rusty water pumps and a ran down car all that makes him less confidence in water level. Then he realizes the next town is a long way away so he losse more confidence and gets more worried about water. Then the flat road is replaced with rough road so his mood goes down more. Then at last he goes to a fishing store and so he gets water and his spirits go way up. Here is how the setting affected his mood.	2	3	3
7310	3	The features and setting in the story affected the cyclist because they made his journey to Yosemite even harder. In the story it says that it was so hot he could drop dead from heatstroke. Also his lack of water made him extreamly tired as he petaled. Next the sun was beating down so not only was he tired due to his lack of water but also because of it being so hot out he was loosing water and energy from his sweat. Thats why the features and setting made his journey to YoSemite difficult.	2	2	2
7311	3	In the short story, "Do not Exceed Posted Speed Limit" The cyclist experiences some difficult times. When starting the journey he had very little water. Because it was hot and dry his water went quickly leaving him very little water for the rest of the trip. The ragh roads also made him, tired making it harder to make the journey.	1	1	1
7312	3	Features of the setting that affect the cyclist are "the cool pines and rushing rivers" they affect the cyclist by keeping him cool and energized by the senery and the temperature, another is the juice factory and it was old and shut down showing that he would die alone. The goast town which was completely and utterly desserted showing that the place is barren and unlivible these are some of the features the affect the biker.	2	1	2
7313	3	The cyclist is very discouraged by the dry and hot settings around him. A feature is something specific about some thing else. In ‘Rough Road Ahead. Do not exceed posted speed limit the cyclist takes the advice of a few old men that seems to be somewhat outdated, and gets him lost as he is running out of water and energy. The cyclist says "Over one long, crppling hill, a building came into view. I wiped the sweat from my eyes to make sure it wasn't a mirage" (Kurmaskie @NUM1). He is greatly affected by the heat and was so tired he wanted to make sure the building was not an illusion. Also, the changed terrain affected how much water he drank and how hard he had worked just to get up that one long hill. The dry climate and tough terrain greatly affected the cyclist.	2	2	2
